a,aaac2b1
a1cd,dc1add1
a13b,b31abb1
a132,231a221
a13c,c31acc1
a13d,d31add1
a1db,bd1abb1
a1d2,2d1a221
a1dc,cd1acc1
a1d3,3d1a331
ab12,21ba221
ab1c,c1bacc1
ab13,31ba331
ab1d,d1badd1
ab21,12ba111
ab2c,c2bacc1
ab23,32ba331
ab2d,d2badd1
abc1,1cba111
abc2,2cba221
abc3,3cba331
abcd,dcbadd1
ab31,13ba111
ab32,23ba221
ab3c,c3bacc1
ab3d,d3badd1
abd1,1dba111
abd2,2dba221
abdc,cdbacc1
abd3,3dba331
a21b,b12abb1
a21c,c12acc1
a213,312a331
a21d,d12add1
a2b1,1b2a111
a2bc,cb2acc1
a2b3,3b2a331
a2bd,db2add1
a2c1,1c2a111
a2cb,bc2abb1
a2c3,3c2a331
a2cd,dc2add1
a231,132a111
a23b,b32abb1
a23c,c32acc1
a23d,d32add1
a2d1,1d2a111
a2db,bd2abb1
a2dc,cd2acc1
a2d3,3d2a331
ac1b,b1cabb1
ac12,21ca221
ac13,31ca331
ac1d,d1cadd1
acb1,1bca111
acb2,2bca221
acb3,3bca331
acbd,dbcadd1
ac21,12ca111
ac2b,b2cabb1
ac23,32ca331
ac2d,d2cadd1
ac31,13ca111
ac3b,b3cabb1
ac32,23ca221
ac3d,d3cadd1
acd1,1dca111
acdb,bdcabb1
acd2,2dca221
acd3,3dca331
a31b,b13abb1
a312,213a221
a31c,c13acc1
a31d,d13add1
a3b1,1b3a111
a3b2,2b3a221
a3bc,cb3acc1
a3bd,db3add1
a321,123a111
a32b,b23abb1
a32c,c23acc1
a32d,d23add1
a3c1,1c3a111
a3cb,bc3abb1
a3c2,2c3a221
a3cd,dc3add1
a3d1,1d3a111
a3db,bd3abb1
a3d2,2d3a221
a3dc,cd3acc1
ad1b,b1dabb1
ad12,21da221
ad1c,c1dacc1
ad13,31da331
adb1,1bda111
adb2,2bda221
adbc,cbdacc1
adb3,3bda331
ad21,12da111
ad2b,b2dabb1
ad2c,c2dacc1
ad23,32da331
adc1,1cda111
adcb,bcdabb1
adc2,2cda221
adc3,3cda331
ad31,13da111
ad3b,b3dabb1
ad32,23da221
ad3c,c3dacc1
1ab2,2ba1221
1abc,cba1cc1
1ab3,3ba1331
1abd,dba1dd1
1a2b,b2a1bb1
1a2c,c2a1cc1
1a23,32a1331
1a2d,d2a1dd1
1acb,bca1bb1
1ac2,2ca1221
1ac3,3ca1331
1acd,dca1dd1
1a3b,b3a1bb1
1a32,23a1221
1a3c,c3a1cc1
1a3d,d3a1dd1
1adb,bda1bb1
1ad2,2da1221
1adc,cda1cc1
1ad3,3da1331
1ba2,2ab1221
1bac,cab1cc1
1ba3,3ab1331
1bad,dab1dd1
1b2a,a2b1aa1
1b2c,c2b1cc1
1b23,32b1331
1b2d,d2b1dd1
1bca,acb1aa1
1bc2,2cb1221
1bc3,3cb1331
1bcd,dcb1dd1
1b3a,a3b1aa1
1b32,23b1221
1b3c,c3b1cc1
1b3d,d3b1dd1
1bda,adb1aa1
1bd2,2db1221
1bdc,cdb1cc1
1bd3,3db1331
12ab,ba21bb1
12ac,ca21cc1
12a3,3a21331
12ad,da21dd1
12ba,ab21aa1
12bc,cb21cc1
12b3,3b21331
12bd,db21dd1
12ca,ac21aa1
12cb,bc21bb1
12c3,3c21331
12cd,dc21dd1
123a,a321aa1
123b,b321bb1
123c,c321cc1
123d,d321dd1
12da,ad21aa1
12db,bd21bb1
12dc,cd21cc1
12d3,3d21331
1cab,bac1bb1
1ca2,2ac1221
1ca3,3ac1331
1cad,dac1dd1
1cba,abc1aa1
1cb2,2bc1221
1cb3,3bc1331
1cbd,dbc1dd1
1c2a,a2c1aa1
1c2b,b2c1bb1
1c23,32c1331
1c2d,d2c1dd1
1c3a,a3c1aa1
1c3b,b3c1bb1
1c32,23c1221
1c3d,d3c1dd1
1cda,adc1aa1
1cdb,bdc1bb1
1cd2,2dc1221
1cd3,3dc1331
13ab,ba31bb1
13a2,2a31221
13ac,ca31cc1
13ad,da31dd1
13ba,ab31aa1
13b2,2b31221
13bc,cb31cc1
13bd,db31dd1
132a,a231aa1
132b,b231bb1
132c,c231cc1
132d,d231dd1
13ca,ac31aa1
13cb,bc31bb1
13c2,2c31221
13cd,dc31dd1
13da,ad31aa1
13db,bd31bb1
13d2,2d31221
13dc,cd31cc1
1dab,bad1bb1
1da2,2ad1221
1dac,cad1cc1
1da3,3ad1331
1dba,abd1aa1
1db2,2bd1221
1dbc,cbd1cc1
1db3,3bd1331
1d2a,a2d1aa1
1d2b,b2d1bb1
1d2c,c2d1cc1
1d23,32d1331
1dca,acd1aa1
1dcb,bcd1bb1
1dc2,2cd1221
1dc3,3cd1331
1d3a,a3d1aa1
1d3b,b3d1bb1
1d32,23d1221
1d3c,c3d1cc1
ba12,21ab221
ba1c,c1abcc1
ba13,31ab331
ba1d,d1abdd1
ba21,12ab111
ba2c,c2abcc1
ba23,32ab331
ba2d,d2abdd1
bac1,1cab111
bac2,2cab221
bac3,3cab331
bacd,dcabdd1
ba31,13ab111
ba32,23ab221
ba3c,c3abcc1
ba3d,d3abdd1
bad1,1dab111
bad2,2dab221
badc,cdabcc1
bad3,3dab331
b1a2,2a1b221
b1ac,ca1bcc1
b1a3,3a1b331
b1ad,da1bdd1
b12a,a21baa1
b12c,c21bcc1
b123,321b331
b12d,d21bdd1
b1ca,ac1baa1
b1c2,2c1b221
b1c3,3c1b331
b1cd,dc1bdd1
b13a,a31baa1
b132,231b221
b13c,c31bcc1
b13d,d31bdd1
b1da,ad1baa1
b1d2,2d1b221
b1dc,cd1bcc1
b1d3,3d1b331
b2a1,1a2b111
b2ac,ca2bcc1
b2a3,3a2b331
b2ad,da2bdd1
b21a,a12baa1
b21c,c12bcc1
b213,312b331
b21d,d12bdd1
b2ca,ac2baa1
b2c1,1c2b111
b2c3,3c2b331
b2cd,dc2bdd1
b23a,a32baa1
b231,132b111
b23c,c32bcc1
b23d,d32bdd1
b2da,ad2baa1
b2d1,1d2b111
b2dc,cd2bcc1
b2d3,3d2b331
bca1,1acb111
bca2,2acb221
bca3,3acb331
bcad,dacbdd1
bc1a,a1cbaa1
bc12,21cb221
bc13,31cb331
bc1d,d1cbdd1
bc2a,a2cbaa1
bc21,12cb111
bc23,32cb331
bc2d,d2cbdd1
bc3a,a3cbaa1
bc31,13cb111
bc32,23cb221
bc3d,d3cbdd1
bcda,adcbaa1
bcd1,1dcb111
bcd2,2dcb221
bcd3,3dcb331
b3a1,1a3b111
b3a2,2a3b221
b3ac,ca3bcc1
b3ad,da3bdd1
b31a,a13baa1
b312,213b221
b31c,c13bcc1
b31d,d13bdd1
b32a,a23baa1
b321,123b111
b32c,c23bcc1
b32d,d23bdd1
b3ca,ac3baa1
b3c1,1c3b111
b3c2,2c3b221
b3cd,dc3bdd1
b3da,ad3baa1
b3d1,1d3b111
b3d2,2d3b221
b3dc,cd3bcc1
bda1,1adb111
bda2,2adb221
bdac,cadbcc1
bda3,3adb331
bd1a,a1dbaa1
bd12,21db221
bd1c,c1dbcc1
bd13,31db331
bd2a,a2dbaa1
bd21,12db111
bd2c,c2dbcc1
bd23,32db331
bdca,acdbaa1
bdc1,1cdb111
bdc2,2cdb221
bdc3,3cdb331
bd3a,a3dbaa1
bd31,13db111
bd32,23db221
bd3c,c3dbcc1
2a1b,b1a2bb1
2a1c,c1a2cc1
2a13,31a2331
2a1d,d1a2dd1
2ab1,1ba2111
2abc,cba2cc1
2ab3,3ba2331
2abd,dba2dd1
2ac1,1ca2111
2acb,bca2bb1
2ac3,3ca2331
2acd,dca2dd1
2a31,13a2111
2a3b,b3a2bb1
2a3c,c3a2cc1
2a3d,d3a2dd1
2ad1,1da2111
2adb,bda2bb1
2adc,cda2cc1
2ad3,3da2331
21ab,ba12bb1
21ac,ca12cc1
21a3,3a12331
21ad,da12dd1
21ba,ab12aa1
21bc,cb12cc1
21b3,3b12331
21bd,db12dd1
21ca,ac12aa1
21cb,bc12bb1
21c3,3c12331
21cd,dc12dd1
213a,a312aa1
213b,b312bb1
213c,c312cc1
213d,d312dd1
21da,ad12aa1
21db,bd12bb1
21dc,cd12cc1
21d3,3d12331
2ba1,1ab2111
2bac,cab2cc1
2ba3,3ab2331
2bad,dab2dd1
2b1a,a1b2aa1
2b1c,c1b2cc1
2b13,31b2331
2b1d,d1b2dd1
2bca,acb2aa1
2bc1,1cb2111
2bc3,3cb2331
2bcd,dcb2dd1
2b3a,a3b2aa1
2b31,13b2111
2b3c,c3b2cc1
2b3d,d3b2dd1
2bda,adb2aa1
2bd1,1db2111
2bdc,cdb2cc1
2bd3,3db2331
2ca1,1ac2111
2cab,bac2bb1
2ca3,3ac2331
2cad,dac2dd1
2c1a,a1c2aa1
2c1b,b1c2bb1
2c13,31c2331
2c1d,d1c2dd1
2cba,abc2aa1
2cb1,1bc2111
2cb3,3bc2331
2cbd,dbc2dd1
2c3a,a3c2aa1
2c31,13c2111
2c3b,b3c2bb1
2c3d,d3c2dd1
2cda,adc2aa1
2cd1,1dc2111
2cdb,bdc2bb1
2cd3,3dc2331
23a1,1a32111
23ab,ba32bb1
23ac,ca32cc1
23ad,da32dd1
231a,a132aa1
231b,b132bb1
231c,c132cc1
231d,d132dd1
23ba,ab32aa1
23b1,1b32111
23bc,cb32cc1
23bd,db32dd1
23ca,ac32aa1
23c1,1c32111
23cb,bc32bb1
23cd,dc32dd1
23da,ad32aa1
23d1,1d32111
23db,bd32bb1
23dc,cd32cc1
2da1,1ad2111
2dab,bad2bb1
2dac,cad2cc1
2da3,3ad2331
2d1a,a1d2aa1
2d1b,b1d2bb1
2d1c,c1d2cc1
2d13,31d2331
2dba,abd2aa1
2db1,1bd2111
2dbc,cbd2cc1
2db3,3bd2331
2dca,acd2aa1
2dc1,1cd2111
2dcb,bcd2bb1
2dc3,3cd2331
2d3a,a3d2aa1
2d31,13d2111
2d3b,b3d2bb1
2d3c,c3d2cc1
ca1b,b1acbb1
ca12,21ac221
ca13,31ac331
ca1d,d1acdd1
cab1,1bac111
cab2,2bac221
cab3,3bac331
cabd,dbacdd1
ca21,12ac111
ca2b,b2acbb1
ca23,32ac331
ca2d,d2acdd1
ca31,13ac111
ca3b,b3acbb1
ca32,23ac221
ca3d,d3acdd1
cad1,1dac111
cadb,bdacbb1
cad2,2dac221
cad3,3dac331
c1ab,ba1cbb1
c1a2,2a1c221
c1a3,3a1c331
c1ad,da1cdd1
c1ba,ab1caa1
c1b2,2b1c221
c1b3,3b1c331
c1bd,db1cdd1
c12a,a21caa1
c12b,b21cbb1
c123,321c331
c12d,d21cdd1
c13a,a31caa1
c13b,b31cbb1
c132,231c221
c13d,d31cdd1
c1da,ad1caa1
c1db,bd1cbb1
c1d2,2d1c221
c1d3,3d1c331
cba1,1abc111
cba2,2abc221
cba3,3abc331
cbad,dabcdd1
cb1a,a1bcaa1
cb12,21bc221
cb13,31bc331
cb1d,d1bcdd1
cb2a,a2bcaa1
cb21,12bc111
cb23,32bc331
cb2d,d2bcdd1
cb3a,a3bcaa1
cb31,13bc111
cb32,23bc221
cb3d,d3bcdd1
cbda,adbcaa1
cbd1,1dbc111
cbd2,2dbc221
cbd3,3dbc331
c2a1,1a2c111
c2ab,ba2cbb1
c2a3,3a2c331
c2ad,da2cdd1
c21a,a12caa1
c21b,b12cbb1
c213,312c331
c21d,d12cdd1
c2ba,ab2caa1
c2b1,1b2c111
c2b3,3b2c331
c2bd,db2cdd1
c23a,a32caa1
c231,132c111
c23b,b32cbb1
c23d,d32cdd1
c2da,ad2caa1
c2d1,1d2c111
c2db,bd2cbb1
c2d3,3d2c331
c3a1,1a3c111
c3ab,ba3cbb1
c3a2,2a3c221
c3ad,da3cdd1
c31a,a13caa1
c31b,b13cbb1
c312,213c221
c31d,d13cdd1
c3ba,ab3caa1
c3b1,1b3c111
c3b2,2b3c221
c3bd,db3cdd1
c32a,a23caa1
c321,123c111
c32b,b23cbb1
c32d,d23cdd1
c3da,ad3caa1
c3d1,1d3c111
c3db,bd3cbb1
c3d2,2d3c221
cda1,1adc111
cdab,badcbb1
cda2,2adc221
cda3,3adc331
cd1a,a1dcaa1
cd1b,b1dcbb1
cd12,21dc221
cd13,31dc331
cdba,abdcaa1
cdb1,1bdc111
cdb2,2bdc221
cdb3,3bdc331
cd2a,a2dcaa1
cd21,12dc111
cd2b,b2dcbb1
cd23,32dc331
cd3a,a3dcaa1
cd31,13dc111
cd3b,b3dcbb1
cd32,23dc221
3a1b,b1a3bb1
3a12,21a3221
3a1c,c1a3cc1
3a1d,d1a3dd1
3ab1,1ba3111
3ab2,2ba3221
3abc,cba3cc1
3abd,dba3dd1
3a21,12a3111
3a2b,b2a3bb1
3a2c,c2a3cc1
3a2d,d2a3dd1
3ac1,1ca3111
3acb,bca3bb1
3ac2,2ca3221
3acd,dca3dd1
3ad1,1da3111
3adb,bda3bb1
3ad2,2da3221
3adc,cda3cc1
31ab,ba13bb1
31a2,2a13221
31ac,ca13cc1
31ad,da13dd1
31ba,ab13aa1
31b2,2b13221
31bc,cb13cc1
31bd,db13dd1
312a,a213aa1
312b,b213bb1
312c,c213cc1
312d,d213dd1
31ca,ac13aa1
31cb,bc13bb1
31c2,2c13221
31cd,dc13dd1
31da,ad13aa1
31db,bd13bb1
31d2,2d13221
31dc,cd13cc1
3ba1,1ab3111
3ba2,2ab3221
3bac,cab3cc1
3bad,dab3dd1
3b1a,a1b3aa1
3b12,21b3221
3b1c,c1b3cc1
3b1d,d1b3dd1
3b2a,a2b3aa1
3b21,12b3111
3b2c,c2b3cc1
3b2d,d2b3dd1
3bca,acb3aa1
3bc1,1cb3111
3bc2,2cb3221
3bcd,dcb3dd1
3bda,adb3aa1
3bd1,1db3111
3bd2,2db3221
3bdc,cdb3cc1
32a1,1a23111
32ab,ba23bb1
32ac,ca23cc1
32ad,da23dd1
321a,a123aa1
321b,b123bb1
321c,c123cc1
321d,d123dd1
32ba,ab23aa1
32b1,1b23111
32bc,cb23cc1
32bd,db23dd1
32ca,ac23aa1
32c1,1c23111
32cb,bc23bb1
32cd,dc23dd1
32da,ad23aa1
32d1,1d23111
32db,bd23bb1
32dc,cd23cc1
3ca1,1ac3111
3cab,bac3bb1
3ca2,2ac3221
3cad,dac3dd1
3c1a,a1c3aa1
3c1b,b1c3bb1
3c12,21c3221
3c1d,d1c3dd1
3cba,abc3aa1
3cb1,1bc3111
3cb2,2bc3221
3cbd,dbc3dd1
3c2a,a2c3aa1
3c21,12c3111
3c2b,b2c3bb1
3c2d,d2c3dd1
3cda,adc3aa1
3cd1,1dc3111
3cdb,bdc3bb1
3cd2,2dc3221
3da1,1ad3111
3dab,bad3bb1
3da2,2ad3221
3dac,cad3cc1
3d1a,a1d3aa1
3d1b,b1d3bb1
3d12,21d3221
3d1c,c1d3cc1
3dba,abd3aa1
3db1,1bd3111
3db2,2bd3221
3dbc,cbd3cc1
3d2a,a2d3aa1
3d21,12d3111
3d2b,b2d3bb1
3d2c,c2d3cc1
3dca,acd3aa1
3dc1,1cd3111
3dcb,bcd3bb1
3dc2,2cd3221
da1b,b1adbb1
da12,21ad221
da1c,c1adcc1
da13,31ad331
dab1,1bad111
dab2,2bad221
dabc,cbadcc1
dab3,3bad331
da21,12ad111
da2b,b2adbb1
da2c,c2adcc1
da23,32ad331
dac1,1cad111
dacb,bcadbb1
dac2,2cad221
dac3,3cad331
da31,13ad111
da3b,b3adbb1
da32,23ad221
da3c,c3adcc1
d1ab,ba1dbb1
d1a2,2a1d221
d1ac,ca1dcc1
d1a3,3a1d331
d1ba,ab1daa1
d1b2,2b1d221
d1bc,cb1dcc1
d1b3,3b1d331
d12a,a21daa1
d12b,b21dbb1
d12c,c21dcc1
d123,321d331
d1ca,ac1daa1
d1cb,bc1dbb1
d1c2,2c1d221
d1c3,3c1d331
d13a,a31daa1
d13b,b31dbb1
d132,231d221
d13c,c31dcc1
dba1,1abd111
dba2,2abd221
dbac,cabdcc1
dba3,3abd331
db1a,a1bdaa1
db12,21bd221
db1c,c1bdcc1
db13,31bd331
db2a,a2bdaa1
db21,12bd111
db2c,c2bdcc1
db23,32bd331
dbca,acbdaa1
dbc1,1cbd111
dbc2,2cbd221
dbc3,3cbd331
db3a,a3bdaa1
db31,13bd111
db32,23bd221
db3c,c3bdcc1
d2a1,1a2d111
d2ab,ba2dbb1
d2ac,ca2dcc1
d2a3,3a2d331
d21a,a12daa1
d21b,b12dbb1
d21c,c12dcc1
d213,312d331
d2ba,ab2daa1
d2b1,1b2d111
d2bc,cb2dcc1
d2b3,3b2d331
d2ca,ac2daa1
d2c1,1c2d111
d2cb,bc2dbb1
d2c3,3c2d331
d23a,a32daa1
d231,132d111
d23b,b32dbb1
d23c,c32dcc1
dca1,1acd111
dcab,bacdbb1
dca2,2acd221
dca3,3acd331
dc1a,a1cdaa1
dc1b,b1cdbb1
dc12,21cd221
dc13,31cd331
dcba,abcdaa1
dcb1,1bcd111
dcb2,2bcd221
dcb3,3bcd331
dc2a,a2cdaa1
dc21,12cd111
dc2b,b2cdbb1
dc23,32cd331
dc3a,a3cdaa1
dc31,13cd111
dc3b,b3cdbb1
dc32,23cd221
d3a1,1a3d111
d3ab,ba3dbb1
d3a2,2a3d221
d3ac,ca3dcc1
d31a,a13daa1
d31b,b13dbb1
d312,213d221
d31c,c13dcc1
d3ba,ab3daa1
d3b1,1b3d111
d3b2,2b3d221
d3bc,cb3dcc1
d32a,a23daa1
d321,123d111
d32b,b23dbb1
d32c,c23dcc1
d3ca,ac3daa1
d3c1,1c3d111
d3cb,bc3dbb1
d3c2,2c3d221
a1b2c,c2b1acc
a1b23,32b1a33
a1b2d,d2b1add
a1bc2,2cb1a22
a1bc3,3cb1a33
a1bcd,dcb1add
a1b32,23b1a22
a1b3c,c3b1acc
a1b3d,d3b1add
a1bd2,2db1a22
a1bdc,cdb1acc
a1bd3,3db1a33
a12bc,cb21acc
a12b3,3b21a33
a12bd,db21add
a12cb,bc21abb
a12c3,3c21a33
a12cd,dc21add
a123b,b321abb
a123c,c321acc
a123d,d321add
a12db,bd21abb
a12dc,cd21acc
a12d3,3d21a33
a1cb2,2bc1a22
a1cb3,3bc1a33
a1cbd,dbc1add
a1c2b,b2c1abb
a1c23,32c1a33
a1c2d,d2c1add
a1c3b,b3c1abb
a1c32,23c1a22
a1c3d,d3c1add
a1cdb,bdc1abb
a1cd2,2dc1a22
a1cd3,3dc1a33
a13b2,2b31a22
a13bc,cb31acc
a13bd,db31add
a132b,b231abb
a132c,c231acc
a132d,d231add
a13cb,bc31abb
a13c2,2c31a22
a13cd,dc31add
a13db,bd31abb
a13d2,2d31a22
a13dc,cd31acc
a1db2,2bd1a22
a1dbc,cbd1acc
a1db3,3bd1a33
a1d2b,b2d1abb
a1d2c,c2d1acc
a1d23,32d1a33
a1dcb,bcd1abb
a1dc2,2cd1a22
a1dc3,3cd1a33
a1d3b,b3d1abb
a1d32,23d1a22
a1d3c,c3d1acc
ab12c,c21bacc
ab123,321ba33
ab12d,d21badd
ab1c2,2c1ba22
ab1c3,3c1ba33
ab1cd,dc1badd
ab132,231ba22
ab13c,c31bacc
ab13d,d31badd
ab1d2,2d1ba22
ab1dc,cd1bacc
ab1d3,3d1ba33
ab21c,c12bacc
ab213,312ba33
ab21d,d12badd
ab2c1,1c2ba11
ab2c3,3c2ba33
ab2cd,dc2badd
ab231,132ba11
ab23c,c32bacc
ab23d,d32badd
ab2d1,1d2ba11
ab2dc,cd2bacc
ab2d3,3d2ba33
abc12,21cba22
abc13,31cba33
abc1d,d1cbadd
abc21,12cba11
abc23,32cba33
abc2d,d2cbadd
abc31,13cba11
abc32,23cba22
abc3d,d3cbadd
abcd1,1dcba11
abcd2,2dcba22
abcd3,3dcba33
ab312,213ba22
ab31c,c13bacc
ab31d,d13badd
ab321,123ba11
ab32c,c23bacc
ab32d,d23badd
ab3c1,1c3ba11
ab3c2,2c3ba22
ab3cd,dc3badd
ab3d1,1d3ba11
ab3d2,2d3ba22
ab3dc,cd3bacc
abd12,21dba22
abd1c,c1dbacc
abd13,31dba33
abd21,12dba11
abd2c,c2dbacc
abd23,32dba33
abdc1,1cdba11
abdc2,2cdba22
abdc3,3cdba33
abd31,13dba11
abd32,23dba22
abd3c,c3dbacc
a21bc,cb12acc
a21b3,3b12a33
a21bd,db12add
a21cb,bc12abb
a21c3,3c12a33
a21cd,dc12add
a213b,b312abb
a213c,c312acc
a213d,d312add
a21db,bd12abb
a21dc,cd12acc
a21d3,3d12a33
a2b1c,c1b2acc
a2b13,31b2a33
a2b1d,d1b2add
a2bc1,1cb2a11
a2bc3,3cb2a33
a2bcd,dcb2add
a2b31,13b2a11
a2b3c,c3b2acc
a2b3d,d3b2add
a2bd1,1db2a11
a2bdc,cdb2acc
a2bd3,3db2a33
a2c1b,b1c2abb
a2c13,31c2a33
a2c1d,d1c2add
a2cb1,1bc2a11
a2cb3,3bc2a33
a2cbd,dbc2add
a2c31,13c2a11
a2c3b,b3c2abb
a2c3d,d3c2add
a2cd1,1dc2a11
a2cdb,bdc2abb
a2cd3,3dc2a33
a231b,b132abb
a231c,c132acc
a231d,d132add
a23b1,1b32a11
a23bc,cb32acc
a23bd,db32add
a23c1,1c32a11
a23cb,bc32abb
a23cd,dc32add
a23d1,1d32a11
a23db,bd32abb
a23dc,cd32acc
a2d1b,b1d2abb
a2d1c,c1d2acc
a2d13,31d2a33
a2db1,1bd2a11
a2dbc,cbd2acc
a2db3,3bd2a33
a2dc1,1cd2a11
a2dcb,bcd2abb
a2dc3,3cd2a33
a2d31,13d2a11
a2d3b,b3d2abb
a2d3c,c3d2acc
ac1b2,2b1ca22
ac1b3,3b1ca33
ac1bd,db1cadd
ac12b,b21cabb
ac123,321ca33
ac12d,d21cadd
ac13b,b31cabb
ac132,231ca22
ac13d,d31cadd
ac1db,bd1cabb
ac1d2,2d1ca22
ac1d3,3d1ca33
acb12,21bca22
acb13,31bca33
acb1d,d1bcadd
acb21,12bca11
acb23,32bca33
acb2d,d2bcadd
acb31,13bca11
acb32,23bca22
acb3d,d3bcadd
acbd1,1dbca11
acbd2,2dbca22
acbd3,3dbca33
ac21b,b12cabb
ac213,312ca33
ac21d,d12cadd
ac2b1,1b2ca11
ac2b3,3b2ca33
ac2bd,db2cadd
ac231,132ca11
ac23b,b32cabb
