a,aaafedcb
dce,ecdeedcb
dcf,fcdffdcb
dcg,gcdggdcb
dch,hcdhhdcb
dea,aedaadcb
deb,bedbbdcb
dec,cedccdcb
def,fedffdcb
deg,gedggdcb
deh,hedhhdcb
dfa,afdaadcb
dfb,bfdbbdcb
dfc,cfdccdcb
dfe,efdeedcb
dfg,gfdggdcb
dfh,hfdhhdcb
dga,agdaadcb
dgb,bgdbbdcb
dgc,cgdccdcb
dge,egdeedcb
dgf,fgdffdcb
dgh,hgdhhdcb
dha,ahdaadcb
dhb,bhdbbdcb
dhc,chdccdcb
dhe,ehdeedcb
dhf,fhdffdcb
dhg,ghdggdcb
eab,baebbdcb
eac,caeccdcb
ead,daedddcb
eaf,faeffdcb
eag,gaeggdcb
eah,haehhdcb
eba,abeaadcb
ebc,cbeccdcb
ebd,dbedddcb
ebf,fbeffdcb
ebg,gbeggdcb
ebh,hbehhdcb
eca,aceaadcb
ecb,bcebbdcb
ecd,dcedddcb
ecf,fceffdcb
ecg,gceggdcb
ech,hcehhdcb
eda,adeaadcb
edb,bdebbdcb
edc,cdeccdcb
edf,fdeffdcb
edg,gdeggdcb
edh,hdehhdcb
efa,afeaadcb
efb,bfebbdcb
efc,cfeccdcb
efd,dfedddcb
efg,gfeggdcb
efh,hfehhdcb
ega,ageaadcb
egb,bgebbdcb
egc,cgeccdcb
egd,dgedddcb
egf,fgeffdcb
egh,hgehhdcb
eha,aheaadcb
ehb,bhebbdcb
ehc,checcdcb
ehd,dhedddcb
ehf,fheffdcb
ehg,gheggdcb
fab,bafbbdcb
fac,cafccdcb
fad,dafdddcb
fae,eafeedcb
fag,gafggdcb
fah,hafhhdcb
fba,abfaadcb
fbc,cbfccdcb
fbd,dbfdddcb
fbe,ebfeedcb
fbg,gbfggdcb
fbh,hbfhhdcb
fca,acfaadcb
fcb,bcfbbdcb
fcd,dcfdddcb
fce,ecfeedcb
fcg,gcfggdcb
fch,hcfhhdcb
fda,adfaadcb
fdb,bdfbbdcb
fdc,cdfccdcb
fde,edfeedcb
fdg,gdfggdcb
fdh,hdfhhdcb
fea,aefaadcb
feb,befbbdcb
fec,cefccdcb
fed,defdddcb
feg,gefggdcb
feh,hefhhdcb
fga,agfaadcb
fgb,bgfbbdcb
fgc,cgfccdcb
fgd,dgfdddcb
fge,egfeedcb
fgh,hgfhhdcb
fha,ahfaadcb
fhb,bhfbbdcb
fhc,chfccdcb
fhd,dhfdddcb
fhe,ehfeedcb
fhg,ghfggdcb
gab,bagbbdcb
gac,cagccdcb
gad,dagdddcb
gae,eageedcb
gaf,fagffdcb
gah,haghhdcb
gba,abgaadcb
gbc,cbgccdcb
gbd,dbgdddcb
gbe,ebgeedcb
gbf,fbgffdcb
gbh,hbghhdcb
gca,acgaadcb
gcb,bcgbbdcb
gcd,dcgdddcb
gce,ecgeedcb
gcf,fcgffdcb
gch,hcghhdcb
gda,adgaadcb
gdb,bdgbbdcb
gdc,cdgccdcb
gde,edgeedcb
gdf,fdgffdcb
gdh,hdghhdcb
gea,aegaadcb
geb,begbbdcb
gec,cegccdcb
ged,degdddcb
gef,fegffdcb
geh,heghhdcb
gfa,afgaadcb
gfb,bfgbbdcb
gfc,cfgccdcb
gfd,dfgdddcb
gfe,efgeedcb
gfh,hfghhdcb
gha,ahgaadcb
ghb,bhgbbdcb
ghc,chgccdcb
ghd,dhgdddcb
ghe,ehgeedcb
ghf,fhgffdcb
hab,bahbbdcb
hac,cahccdcb
had,dahdddcb
hae,eaheedcb
haf,fahffdcb
hag,gahggdcb
hba,abhaadcb
hbc,cbhccdcb
hbd,dbhdddcb
hbe,ebheedcb
hbf,fbhffdcb
hbg,gbhggdcb
hca,achaadcb
hcb,bchbbdcb
hcd,dchdddcb
hce,echeedcb
hcf,fchffdcb
hcg,gchggdcb
hda,adhaadcb
hdb,bdhbbdcb
hdc,cdhccdcb
hde,edheedcb
hdf,fdhffdcb
hdg,gdhggdcb
hea,aehaadcb
heb,behbbdcb
hec,cehccdcb
hed,dehdddcb
hef,fehffdcb
heg,gehggdcb
hfa,afhaadcb
hfb,bfhbbdcb
hfc,cfhccdcb
hfd,dfhdddcb
hfe,efheedcb
hfg,gfhggdcb
hga,aghaadcb
hgb,bghbbdcb
hgc,cghccdcb
hgd,dghdddcb
hge,egheedcb
hgf,fghffdcb
abcd,dcbaddcb
abce,ecbaeecb
abcf,fcbaffcb
abcg,gcbaggcb
abch,hcbahhcb
abdc,cdbacccb
abde,edbaeecb
abdf,fdbaffcb
abdg,gdbaggcb
abdh,hdbahhcb
abec,cebacccb
abed,debaddcb
abef,febaffcb
abeg,gebaggcb
abeh,hebahhcb
abfc,cfbacccb
abfd,dfbaddcb
abfe,efbaeecb
abfg,gfbaggcb
abfh,hfbahhcb
abgc,cgbacccb
abgd,dgbaddcb
abge,egbaeecb
abgf,fgbaffcb
abgh,hgbahhcb
abhc,chbacccb
abhd,dhbaddcb
abhe,ehbaeecb
abhf,fhbaffcb
abhg,ghbaggcb
acbd,dbcaddcb
acbe,ebcaeecb
acbf,fbcaffcb
acbg,gbcaggcb
acbh,hbcahhcb
acdb,bdcabbcb
acde,edcaeecb
acdf,fdcaffcb
acdg,gdcaggcb
acdh,hdcahhcb
aceb,becabbcb
aced,decaddcb
acef,fecaffcb
aceg,gecaggcb
aceh,hecahhcb
acfb,bfcabbcb
acfd,dfcaddcb
acfe,efcaeecb
acfg,gfcaggcb
acfh,hfcahhcb
acgb,bgcabbcb
acgd,dgcaddcb
acge,egcaeecb
acgf,fgcaffcb
acgh,hgcahhcb
achb,bhcabbcb
achd,dhcaddcb
ache,ehcaeecb
achf,fhcaffcb
achg,ghcaggcb
adbc,cbdacccb
adbe,ebdaeecb
adbf,fbdaffcb
adbg,gbdaggcb
adbh,hbdahhcb
adcb,bcdabbcb
adce,ecdaeecb
adcf,fcdaffcb
adcg,gcdaggcb
adch,hcdahhcb
adeb,bedabbcb
adec,cedacccb
adef,fedaffcb
adeg,gedaggcb
adeh,hedahhcb
adfb,bfdabbcb
adfc,cfdacccb
adfe,efdaeecb
adfg,gfdaggcb
adfh,hfdahhcb
adgb,bgdabbcb
adgc,cgdacccb
adge,egdaeecb
adgf,fgdaffcb
adgh,hgdahhcb
adhb,bhdabbcb
adhc,chdacccb
adhe,ehdaeecb
adhf,fhdaffcb
adhg,ghdaggcb
aebc,cbeacccb
aebd,dbeaddcb
aebf,fbeaffcb
aebg,gbeaggcb
aebh,hbeahhcb
aecb,bceabbcb
aecd,dceaddcb
aecf,fceaffcb
aecg,gceaggcb
aech,hceahhcb
aedb,bdeabbcb
aedc,cdeacccb
aedf,fdeaffcb
aedg,gdeaggcb
aedh,hdeahhcb
aefb,bfeabbcb
aefc,cfeacccb
aefd,dfeaddcb
aefg,gfeaggcb
aefh,hfeahhcb
aegb,bgeabbcb
aegc,cgeacccb
aegd,dgeaddcb
aegf,fgeaffcb
aegh,hgeahhcb
aehb,bheabbcb
aehc,cheacccb
aehd,dheaddcb
aehf,fheaffcb
aehg,gheaggcb
afbc,cbfacccb
afbd,dbfaddcb
afbe,ebfaeecb
afbg,gbfaggcb
afbh,hbfahhcb
afcb,bcfabbcb
afcd,dcfaddcb
afce,ecfaeecb
afcg,gcfaggcb
afch,hcfahhcb
afdb,bdfabbcb
afdc,cdfacccb
afde,edfaeecb
afdg,gdfaggcb
afdh,hdfahhcb
afeb,befabbcb
afec,cefacccb
afed,defaddcb
afeg,gefaggcb
afeh,hefahhcb
afgb,bgfabbcb
afgc,cgfacccb
afgd,dgfaddcb
afge,egfaeecb
afgh,hgfahhcb
afhb,bhfabbcb
afhc,chfacccb
afhd,dhfaddcb
afhe,ehfaeecb
afhg,ghfaggcb
agbc,cbgacccb
agbd,dbgaddcb
agbe,ebgaeecb
agbf,fbgaffcb
agbh,hbgahhcb
agcb,bcgabbcb
agcd,dcgaddcb
agce,ecgaeecb
agcf,fcgaffcb
agch,hcgahhcb
agdb,bdgabbcb
agdc,cdgacccb
agde,edgaeecb
agdf,fdgaffcb
agdh,hdgahhcb
ageb,begabbcb
agec,cegacccb
aged,degaddcb
agef,fegaffcb
ageh,hegahhcb
agfb,bfgabbcb
agfc,cfgacccb
agfd,dfgaddcb
agfe,efgaeecb
agfh,hfgahhcb
aghb,bhgabbcb
aghc,chgacccb
aghd,dhgaddcb
aghe,ehgaeecb
aghf,fhgaffcb
ahbc,cbhacccb
ahbd,dbhaddcb
ahbe,ebhaeecb
ahbf,fbhaffcb
ahbg,gbhaggcb
ahcb,bchabbcb
ahcd,dchaddcb
ahce,echaeecb
ahcf,fchaffcb
ahcg,gchaggcb
ahdb,bdhabbcb
ahdc,cdhacccb
ahde,edhaeecb
ahdf,fdhaffcb
ahdg,gdhaggcb
aheb,behabbcb
ahec,cehacccb
ahed,dehaddcb
ahef,fehaffcb
aheg,gehaggcb
ahfb,bfhabbcb
ahfc,cfhacccb
ahfd,dfhaddcb
ahfe,efhaeecb
ahfg,gfhaggcb
ahgb,bghabbcb
ahgc,cghacccb
ahgd,dghaddcb
ahge,eghaeecb
ahgf,fghaffcb
bacd,dcabddcb
bace,ecabeecb
bacf,fcabffcb
bacg,gcabggcb
bach,hcabhhcb
badc,cdabcccb
bade,edabeecb
badf,fdabffcb
badg,gdabggcb
badh,hdabhhcb
baec,ceabcccb
baed,deabddcb
baef,feabffcb
baeg,geabggcb
baeh,heabhhcb
bafc,cfabcccb
bafd,dfabddcb
bafe,efabeecb
bafg,gfabggcb
bafh,hfabhhcb
bagc,cgabcccb
bagd,dgabddcb
bage,egabeecb
bagf,fgabffcb
bagh,hgabhhcb
bahc,chabcccb
bahd,dhabddcb
bahe,ehabeecb
bahf,fhabffcb
bahg,ghabggcb
bcad,dacbddcb
bcae,eacbeecb
bcaf,facbffcb
bcag,gacbggcb
bcah,hacbhhcb
bcda,adcbaacb
bcde,edcbeecb
bcdf,fdcbffcb
bcdg,gdcbggcb
bcdh,hdcbhhcb
bcea,aecbaacb
bced,decbddcb
bcef,fecbffcb
bceg,gecbggcb
bceh,hecbhhcb
bcfa,afcbaacb
bcfd,dfcbddcb
bcfe,efcbeecb
bcfg,gfcbggcb
bcfh,hfcbhhcb
bcga,agcbaacb
bcgd,dgcbddcb
bcge,egcbeecb
bcgf,fgcbffcb
bcgh,hgcbhhcb
bcha,ahcbaacb
bchd,dhcbddcb
bche,ehcbeecb
bchf,fhcbffcb
bchg,ghcbggcb
bdac,cadbcccb
bdae,eadbeecb
bdaf,fadbffcb
bdag,gadbggcb
bdah,hadbhhcb
bdca,acdbaacb
bdce,ecdbeecb
bdcf,fcdbffcb
bdcg,gcdbggcb
bdch,hcdbhhcb
bdea,aedbaacb
bdec,cedbcccb
bdef,fedbffcb
bdeg,gedbggcb
bdeh,hedbhhcb
bdfa,afdbaacb
bdfc,cfdbcccb
bdfe,efdbeecb
bdfg,gfdbggcb
bdfh,hfdbhhcb
bdga,agdbaacb
bdgc,cgdbcccb
bdge,egdbeecb
bdgf,fgdbffcb
bdgh,hgdbhhcb
bdha,ahdbaacb
bdhc,chdbcccb
bdhe,ehdbeecb
bdhf,fhdbffcb
bdhg,ghdbggcb
beac,caebcccb
bead,daebddcb
beaf,faebffcb
beag,gaebggcb
beah,haebhhcb
beca,acebaacb
becd,dcebddcb
becf,fcebffcb
becg,gcebggcb
bech,hcebhhcb
beda,adebaacb
bedc,cdebcccb
bedf,fdebffcb
bedg,gdebggcb
bedh,hdebhhcb
befa,afebaacb
befc,cfebcccb
befd,dfebddcb
befg,gfebggcb
befh,hfebhhcb
bega,agebaacb
begc,cgebcccb
begd,dgebddcb
begf,fgebffcb
begh,hgebhhcb
beha,ahebaacb
behc,chebcccb
behd,dhebddcb
behf,fhebffcb
behg,ghebggcb
bfac,cafbcccb
bfad,dafbddcb
bfae,eafbeecb
bfag,gafbggcb
bfah,hafbhhcb
bfca,acfbaacb
bfcd,dcfbddcb
bfce,ecfbeecb
bfcg,gcfbggcb
bfch,hcfbhhcb
bfda,adfbaacb
bfdc,cdfbcccb
bfde,edfbeecb
bfdg,gdfbggcb
bfdh,hdfbhhcb
bfea,aefbaacb
bfec,cefbcccb
bfed,defbddcb
bfeg,gefbggcb
bfeh,hefbhhcb
bfga,agfbaacb
bfgc,cgfbcccb
bfgd,dgfbddcb
bfge,egfbeecb
bfgh,hgfbhhcb
bfha,ahfbaacb
bfhc,chfbcccb
bfhd,dhfbddcb
bfhe,ehfbeecb
bfhg,ghfbggcb
bgac,cagbcccb
bgad,dagbddcb
bgae,eagbeecb
bgaf,fagbffcb
bgah,hagbhhcb
bgca,acgbaacb
bgcd,dcgbddcb
bgce,ecgbeecb
bgcf,fcgbffcb
bgch,hcgbhhcb
bgda,adgbaacb
bgdc,cdgbcccb
bgde,edgbeecb
bgdf,fdgbffcb
bgdh,hdgbhhcb
bgea,aegbaacb
bgec,cegbcccb
bged,degbddcb
bgef,fegbffcb
bgeh,hegbhhcb
bgfa,afgbaacb
bgfc,cfgbcccb
bgfd,dfgbddcb
bgfe,efgbeecb
bgfh,hfgbhhcb
bgha,ahgbaacb
bghc,chgbcccb
bghd,dhgbddcb
bghe,ehgbeecb
bghf,fhgbffcb
bhac,cahbcccb
bhad,dahbddcb
bhae,eahbeecb
bhaf,fahbffcb
bhag,gahbggcb
bhca,achbaacb
bhcd,dchbddcb
bhce,echbeecb
bhcf,fchbffcb
bhcg,gchbggcb
bhda,adhbaacb
bhdc,cdhbcccb
bhde,edhbeecb
bhdf,fdhbffcb
bhdg,gdhbggcb
bhea,aehbaacb
bhec,cehbcccb
bhed,dehbddcb
bhef,fehbffcb
bheg,gehbggcb
bhfa,afhbaacb
bhfc,cfhbcccb
bhfd,dfhbddcb
bhfe,efhbeecb
bhfg,gfhbggcb
bhga,aghbaacb
bhgc,cghbcccb
bhgd,dghbddcb
bhge,eghbeecb
bhgf,fghbffcb
cabd,dbacddcb
cabe,ebaceecb
cabf,fbacffcb
cabg,gbacggcb
cabh,hbachhcb
cadb,bdacbbcb
cade,edaceecb
cadf,fdacffcb
cadg,gdacggcb
cadh,hdachhcb
caeb,beacbbcb
caed,deacddcb
caef,feacffcb
caeg,geacggcb
caeh,heachhcb
cafb,bfacbbcb
cafd,dfacddcb
cafe,efaceecb
cafg,gfacggcb
cafh,hfachhcb
cagb,bgacbbcb
cagd,dgacddcb
cage,egaceecb
cagf,fgacffcb
cagh,hgachhcb
cahb,bhacbbcb
cahd,dhacddcb
cahe,ehaceecb
cahf,fhacffcb
cahg,ghacggcb
cbad,dabcddcb
cbae,eabceecb
cbaf,fabcffcb
cbag,gabcggcb
cbah,habchhcb
cbda,adbcaacb
cbde,edbceecb
cbdf,fdbcffcb
cbdg,gdbcggcb
cbdh,hdbchhcb
cbea,aebcaacb
cbed,debcddcb
cbef,febcffcb
cbeg,gebcggcb
cbeh,hebchhcb
cbfa,afbcaacb
cbfd,dfbcddcb
cbfe,efbceecb
cbfg,gfbcggcb
cbfh,hfbchhcb
cbga,agbcaacb
cbgd,dgbcddcb
cbge,egbceecb
cbgf,fgbcffcb
cbgh,hgbchhcb
cbha,ahbcaacb
cbhd,dhbcddcb
cbhe,ehbceecb
cbhf,fhbcffcb
cbhg,ghbcggcb
cdab,badcbbcb
cdae,eadceecb
cdaf,fadcffcb
cdag,gadcggcb
cdah,hadchhcb
cdba,abdcaacb
cdbe,ebdceecb
cdbf,fbdcffcb
cdbg,gbdcggcb
cdbh,hbdchhcb
cdea,aedcaacb
cdeb,bedcbbcb
cdef,fedcffcb
cdeg,gedcggcb
cdeh,hedchhcb
cdfa,afdcaacb
cdfb,bfdcbbcb
cdfe,efdceecb
cdfg,gfdcggcb
cdfh,hfdchhcb
cdga,agdcaacb
cdgb,bgdcbbcb
cdge,egdceecb
cdgf,fgdcffcb
cdgh,hgdchhcb
cdha,ahdcaacb
cdhb,bhdcbbcb
cdhe,ehdceecb
cdhf,fhdcffcb
cdhg,ghdcggcb
ceab,baecbbcb
cead,daecddcb
ceaf,faecffcb
ceag,gaecggcb
ceah,haechhcb
ceba,abecaacb
cebd,dbecddcb
cebf,fbecffcb
cebg,gbecggcb
cebh,hbechhcb
ceda,adecaacb
cedb,bdecbbcb
cedf,fdecffcb
cedg,gdecggcb
cedh,hdechhcb
cefa,afecaacb
cefb,bfecbbcb
cefd,dfecddcb
cefg,gfecggcb
cefh,hfechhcb
cega,agecaacb
cegb,bgecbbcb
cegd,dgecddcb
cegf,fgecffcb
cegh,hgechhcb
ceha,ahecaacb
cehb,bhecbbcb
cehd,dhecddcb
cehf,fhecffcb
cehg,ghecggcb
cfab,bafcbbcb
cfad,dafcddcb
cfae,eafceecb
cfag,gafcggcb
cfah,hafchhcb
cfba,abfcaacb
cfbd,dbfcddcb
cfbe,ebfceecb
cfbg,gbfcggcb
cfbh,hbfchhcb
cfda,adfcaacb
cfdb,bdfcbbcb
cfde,edfceecb
cfdg,gdfcggcb
cfdh,hdfchhcb
cfea,aefcaacb
cfeb,befcbbcb
cfed,defcddcb
cfeg,gefcggcb
cfeh,hefchhcb
cfga,agfcaacb
cfgb,bgfcbbcb
cfgd,dgfcddcb
cfge,egfceecb
cfgh,hgfchhcb
cfha,ahfcaacb
cfhb,bhfcbbcb
cfhd,dhfcddcb
cfhe,ehfceecb
cfhg,ghfcggcb
cgab,bagcbbcb
cgad,dagcddcb
cgae,eagceecb
cgaf,fagcffcb
cgah,hagchhcb
cgba,abgcaacb
cgbd,dbgcddcb
cgbe,ebgceecb
cgbf,fbgcffcb
cgbh,hbgchhcb
cgda,adgcaacb
cgdb,bdgcbbcb
cgde,edgceecb
cgdf,fdgcffcb
cgdh,hdgchhcb
cgea,aegcaacb
cgeb,begcbbcb
cged,degcddcb
cgef,fegcffcb
cgeh,hegchhcb
cgfa,afgcaacb
cgfb,bfgcbbcb
cgfd,dfgcddcb
cgfe,efgceecb
cgfh,hfgchhcb
cgha,ahgcaacb
cghb,bhgcbbcb
cghd,dhgcddcb
cghe,ehgceecb
cghf,fhgcffcb
chab,bahcbbcb
chad,dahcddcb
chae,eahceecb
chaf,fahcffcb
chag,gahcggcb
chba,abhcaacb
chbd,dbhcddcb
chbe,ebhceecb
chbf,fbhcffcb
chbg,gbhcggcb
chda,adhcaacb
chdb,bdhcbbcb
chde,edhceecb
chdf,fdhcffcb
chdg,gdhcggcb
chea,aehcaacb
cheb,behcbbcb
ched,dehcddcb
chef,fehcffcb
cheg,gehcggcb
chfa,afhcaacb
chfb,bfhcbbcb
chfd,dfhcddcb
chfe,efhceecb
chfg,gfhcggcb
chga,aghcaacb
chgb,bghcbbcb
chgd,dghcddcb
chge,eghceecb
chgf,fghcffcb
dabc,cbadcccb
dabe,ebadeecb
dabf,fbadffcb
dabg,gbadggcb
dabh,hbadhhcb
dacb,bcadbbcb
dace,ecadeecb
dacf,fcadffcb
dacg,gcadggcb
dach,hcadhhcb
daeb,beadbbcb
daec,ceadcccb
daef,feadffcb
daeg,geadggcb
daeh,headhhcb
dafb,bfadbbcb
dafc,cfadcccb
dafe,efadeecb
dafg,gfadggcb
dafh,hfadhhcb
dagb,bgadbbcb
dagc,cgadcccb
dage,egadeecb
dagf,fgadffcb
dagh,hgadhhcb
dahb,bhadbbcb
dahc,chadcccb
dahe,ehadeecb
dahf,fhadffcb
dahg,ghadggcb
dbac,cabdcccb
dbae,eabdeecb
dbaf,fabdffcb
dbag,gabdggcb
dbah,habdhhcb
dbca,acbdaacb
dbce,ecbdeecb
dbcf,fcbdffcb
dbcg,gcbdggcb
dbch,hcbdhhcb
dbea,aebdaacb
dbec,cebdcccb
dbef,febdffcb
dbeg,gebdggcb
dbeh,hebdhhcb
dbfa,afbdaacb
dbfc,cfbdcccb
dbfe,efbdeecb
dbfg,gfbdggcb
dbfh,hfbdhhcb
dbga,agbdaacb
dbgc,cgbdcccb
dbge,egbdeecb
dbgf,fgbdffcb
dbgh,hgbdhhcb
dbha,ahbdaacb
dbhc,chbdcccb
dbhe,ehbdeecb
dbhf,fhbdffcb
dbhg,ghbdggcb
dcab,bacdbbcb
dcae,eacdeecb
dcaf,facdffcb
dcag,gacdggcb
dcah,hacdhhcb
dcba,abcdaacb
dcbe,ebcdeecb
dcbf,fbcdffcb
dcbg,gbcdggcb
dcbh,hbcdhhcb
dcea,aecdaacb
dceb,becdbbcb
dcef,fecdffcb
dceg,gecdggcb
dceh,hecdhhcb
dcfa,afcdaacb
dcfb,bfcdbbcb
dcfe,efcdeecb
dcfg,gfcdggcb
dcfh,hfcdhhcb
dcga,agcdaacb
dcgb,bgcdbbcb
dcge,egcdeecb
dcgf,fgcdffcb
dcgh,hgcdhhcb
dcha,ahcdaacb
dchb,bhcdbbcb
dche,ehcdeecb
dchf,fhcdffcb
dchg,ghcdggcb
deab,baedbbcb
deac,caedcccb
deaf,faedffcb
deag,gaedggcb
deah,haedhhcb
deba,abedaacb
debc,cbedcccb
debf,fbedffcb
debg,gbedggcb
debh,hbedhhcb
deca,acedaacb
decb,bcedbbcb
decf,fcedffcb
decg,gcedggcb
dech,hcedhhcb
defa,afedaacb
defb,bfedbbcb
defc,cfedcccb
defg,gfedggcb
defh,hfedhhcb
dega,agedaacb
degb,bgedbbcb
degc,cgedcccb
degf,fgedffcb
degh,hgedhhcb
deha,ahedaacb
dehb,bhedbbcb
dehc,chedcccb
dehf,fhedffcb
dehg,ghedggcb
dfab,bafdbbcb
dfac,cafdcccb
dfae,eafdeecb
dfag,gafdggcb
dfah,hafdhhcb
dfba,abfdaacb
dfbc,cbfdcccb
dfbe,ebfdeecb
dfbg,gbfdggcb
dfbh,hbfdhhcb
dfca,acfdaacb
dfcb,bcfdbbcb
dfce,ecfdeecb
dfcg,gcfdggcb
dfch,hcfdhhcb
dfea,aefdaacb
dfeb,befdbbcb
dfec,cefdcccb
dfeg,gefdggcb
dfeh,hefdhhcb
dfga,agfdaacb
dfgb,bgfdbbcb
dfgc,cgfdcccb
dfge,egfdeecb
dfgh,hgfdhhcb
dfha,ahfdaacb
dfhb,bhfdbbcb
dfhc,chfdcccb
dfhe,ehfdeecb
dfhg,ghfdggcb
dgab,bagdbbcb
dgac,cagdcccb
dgae,eagdeecb
dgaf,fagdffcb
dgah,hagdhhcb
dgba,abgdaacb
dgbc,cbgdcccb
dgbe,ebgdeecb
dgbf,fbgdffcb
dgbh,hbgdhhcb
dgca,acgdaacb
dgcb,bcgdbbcb
dgce,ecgdeecb
dgcf,fcgdffcb
dgch,hcgdhhcb
dgea,aegdaacb
dgeb,begdbbcb
dgec,cegdcccb
dgef,fegdffcb
dgeh,hegdhhcb
dgfa,afgdaacb
dgfb,bfgdbbcb
dgfc,cfgdcccb
dgfe,efgdeecb
dgfh,hfgdhhcb
dgha,ahgdaacb
dghb,bhgdbbcb
dghc,chgdcccb
dghe,ehgdeecb
dghf,fhgdffcb
dhab,bahdbbcb
dhac,cahdcccb
dhae,eahdeecb
dhaf,fahdffcb
dhag,gahdggcb
dhba,abhdaacb
dhbc,cbhdcccb
dhbe,ebhdeecb
dhbf,fbhdffcb
dhbg,gbhdggcb
dhca,achdaacb
dhcb,bchdbbcb
dhce,echdeecb
dhcf,fchdffcb
dhcg,gchdggcb
dhea,aehdaacb
dheb,behdbbcb
dhec,cehdcccb
dhef,fehdffcb
dheg,gehdggcb
dhfa,afhdaacb
dhfb,bfhdbbcb
dhfc,cfhdcccb
dhfe,efhdeecb
dhfg,gfhdggcb
dhga,aghdaacb
dhgb,bghdbbcb
