a,aaadcb
cfba,abfcaa
cfbd,dbfcdd
cfbe,ebfcee
cfda,adfcaa
cfdb,bdfcbb
cfde,edfcee
cfea,aefcaa
cfeb,befcbb
cfed,defcdd
dabc,cbadcc
dabe,ebadee
dabf,fbadff
dacb,bcadbb
dace,ecadee
dacf,fcadff
daeb,beadbb
daec,ceadcc
daef,feadff
dafb,bfadbb
dafc,cfadcc
dafe,efadee
dbac,cabdcc
dbae,eabdee
dbaf,fabdff
dbca,acbdaa
dbce,ecbdee
dbcf,fcbdff
dbea,aebdaa
dbec,cebdcc
dbef,febdff
dbfa,afbdaa
dbfc,cfbdcc
dbfe,efbdee
dcab,bacdbb
dcae,eacdee
dcaf,facdff
dcba,abcdaa
dcbe,ebcdee
dcbf,fbcdff
dcea,aecdaa
dceb,becdbb
dcef,fecdff
dcfa,afcdaa
dcfb,bfcdbb
dcfe,efcdee
deab,baedbb
deac,caedcc
deaf,faedff
deba,abedaa
debc,cbedcc
debf,fbedff
deca,acedaa
decb,bcedbb
decf,fcedff
defa,afedaa
defb,bfedbb
defc,cfedcc
dfab,bafdbb
dfac,cafdcc
dfae,eafdee
dfba,abfdaa
dfbc,cbfdcc
dfbe,ebfdee
dfca,acfdaa
dfcb,bcfdbb
dfce,ecfdee
dfea,aefdaa
dfeb,befdbb
dfec,cefdcc
eabc,cbaecc
eabd,dbaedd
eabf,fbaeff
eacb,bcaebb
eacd,dcaedd
eacf,fcaeff
eadb,bdaebb
eadc,cdaecc
eadf,fdaeff
eafb,bfaebb
eafc,cfaecc
eafd,dfaedd
ebac,cabecc
ebad,dabedd
ebaf,fabeff
ebca,acbeaa
ebcd,dcbedd
ebcf,fcbeff
ebda,adbeaa
ebdc,cdbecc
ebdf,fdbeff
ebfa,afbeaa
ebfc,cfbecc
ebfd,dfbedd
ecab,bacebb
ecad,dacedd
ecaf,faceff
ecba,abceaa
ecbd,dbcedd
ecbf,fbceff
ecda,adceaa
ecdb,bdcebb
ecdf,fdceff
ecfa,afceaa
ecfb,bfcebb
ecfd,dfcedd
edab,badebb
edac,cadecc
edaf,fadeff
edba,abdeaa
edbc,cbdecc
edbf,fbdeff
edca,acdeaa
edcb,bcdebb
edcf,fcdeff
edfa,afdeaa
edfb,bfdebb
edfc,cfdecc
efab,bafebb
efac,cafecc
efad,dafedd
efba,abfeaa
efbc,cbfecc
efbd,dbfedd
efca,acfeaa
efcb,bcfebb
efcd,dcfedd
efda,adfeaa
efdb,bdfebb
efdc,cdfecc
fabc,cbafcc
fabd,dbafdd
fabe,ebafee
facb,bcafbb
facd,dcafdd
face,ecafee
fadb,bdafbb
fadc,cdafcc
fade,edafee
faeb,beafbb
faec,ceafcc
faed,deafdd
fbac,cabfcc
fbad,dabfdd
fbae,eabfee
fbca,acbfaa
fbcd,dcbfdd
fbce,ecbfee
fbda,adbfaa
fbdc,cdbfcc
fbde,edbfee
fbea,aebfaa
fbec,cebfcc
fbed,debfdd
fcab,bacfbb
fcad,dacfdd
fcae,eacfee
fcba,abcfaa
fcbd,dbcfdd
fcbe,ebcfee
fcda,adcfaa
fcdb,bdcfbb
fcde,edcfee
fcea,aecfaa
fceb,becfbb
fced,decfdd
fdab,badfbb
fdac,cadfcc
fdae,eadfee
fdba,abdfaa
fdbc,cbdfcc
fdbe,ebdfee
fdca,acdfaa
fdcb,bcdfbb
fdce,ecdfee
fdea,aedfaa
fdeb,bedfbb
fdec,cedfcc
feab,baefbb
feac,caefcc
fead,daefdd
feba,abefaa
febc,cbefcc
febd,dbefdd
feca,acefaa
fecb,bcefbb
fecd,dcefdd
feda,adefaa
fedb,bdefbb
fedc,cdefcc
abcde,edcbae
abcdf,fdcbaf
abced,decbad
abcef,fecbaf
abcfd,dfcbad
abcfe,efcbae
abdce,ecdbae
abdcf,fcdbaf
abdec,cedbac
abdef,fedbaf
abdfc,cfdbac
abdfe,efdbae
abecd,dcebad
abecf,fcebaf
abedc,cdebac
abedf,fdebaf
abefc,cfebac
abefd,dfebad
abfcd,dcfbad
abfce,ecfbae
abfdc,cdfbac
abfde,edfbae
abfec,cefbac
abfed,defbad
acbde,edbcae
acbdf,fdbcaf
acbed,debcad
acbef,febcaf
acbfd,dfbcad
acbfe,efbcae
acdbe,ebdcae
acdbf,fbdcaf
acdeb,bedcab
acdef,fedcaf
acdfb,bfdcab
acdfe,efdcae
acebd,dbecad
acebf,fbecaf
acedb,bdecab
acedf,fdecaf
acefb,bfecab
acefd,dfecad
acfbd,dbfcad
acfbe,ebfcae
acfdb,bdfcab
acfde,edfcae
acfeb,befcab
acfed,defcad
adbce,ecbdae
adbcf,fcbdaf
adbec,cebdac
adbef,febdaf
adbfc,cfbdac
adbfe,efbdae
adcbe,ebcdae
adcbf,fbcdaf
adceb,becdab
adcef,fecdaf
adcfb,bfcdab
adcfe,efcdae
adebc,cbedac
adebf,fbedaf
adecb,bcedab
adecf,fcedaf
adefb,bfedab
adefc,cfedac
adfbc,cbfdac
adfbe,ebfdae
adfcb,bcfdab
adfce,ecfdae
adfeb,befdab
adfec,cefdac
aebcd,dcbead
aebcf,fcbeaf
aebdc,cdbeac
aebdf,fdbeaf
aebfc,cfbeac
aebfd,dfbead
aecbd,dbcead
aecbf,fbceaf
aecdb,bdceab
aecdf,fdceaf
aecfb,bfceab
aecfd,dfcead
aedbc,cbdeac
aedbf,fbdeaf
aedcb,bcdeab
aedcf,fcdeaf
aedfb,bfdeab
aedfc,cfdeac
aefbc,cbfeac
aefbd,dbfead
aefcb,bcfeab
aefcd,dcfead
aefdb,bdfeab
aefdc,cdfeac
afbcd,dcbfad
afbce,ecbfae
afbdc,cdbfac
afbde,edbfae
afbec,cebfac
afbed,debfad
afcbd,dbcfad
afcbe,ebcfae
afcdb,bdcfab
afcde,edcfae
afceb,becfab
afced,decfad
afdbc,cbdfac
afdbe,ebdfae
afdcb,bcdfab
afdce,ecdfae
afdeb,bedfab
afdec,cedfac
afebc,cbefac
afebd,dbefad
afecb,bcefab
afecd,dcefad
afedb,bdefab
afedc,cdefac
bacde,edcabe
bacdf,fdcabf
baced,decabd
bacef,fecabf
bacfd,dfcabd
bacfe,efcabe
badce,ecdabe
badcf,fcdabf
badec,cedabc
badef,fedabf
badfc,cfdabc
badfe,efdabe
baecd,dceabd
baecf,fceabf
baedc,cdeabc
baedf,fdeabf
baefc,cfeabc
baefd,dfeabd
bafcd,dcfabd
bafce,ecfabe
bafdc,cdfabc
bafde,edfabe
bafec,cefabc
bafed,defabd
bcade,edacbe
bcadf,fdacbf
bcaed,deacbd
bcaef,feacbf
bcafd,dfacbd
bcafe,efacbe
bcdae,eadcbe
bcdaf,fadcbf
bcdea,aedcba
bcdef,fedcbf
bcdfa,afdcba
bcdfe,efdcbe
bcead,daecbd
bceaf,faecbf
bceda,adecba
bcedf,fdecbf
bcefa,afecba
bcefd,dfecbd
bcfad,dafcbd
bcfae,eafcbe
bcfda,adfcba
bcfde,edfcbe
bcfea,aefcba
bcfed,defcbd
bdace,ecadbe
bdacf,fcadbf
bdaec,ceadbc
bdaef,feadbf
bdafc,cfadbc
bdafe,efadbe
bdcae,eacdbe
bdcaf,facdbf
bdcea,aecdba
bdcef,fecdbf
bdcfa,afcdba
bdcfe,efcdbe
bdeac,caedbc
bdeaf,faedbf
bdeca,acedba
bdecf,fcedbf
bdefa,afedba
bdefc,cfedbc
bdfac,cafdbc
bdfae,eafdbe
bdfca,acfdba
bdfce,ecfdbe
bdfea,aefdba
bdfec,cefdbc
beacd,dcaebd
beacf,fcaebf
beadc,cdaebc
beadf,fdaebf
beafc,cfaebc
beafd,dfaebd
becad,dacebd
becaf,facebf
becda,adceba
becdf,fdcebf
becfa,afceba
becfd,dfcebd
bedac,cadebc
bedaf,fadebf
bedca,acdeba
bedcf,fcdebf
bedfa,afdeba
bedfc,cfdebc
befac,cafebc
befad,dafebd
befca,acfeba
befcd,dcfebd
befda,adfeba
befdc,cdfebc
bfacd,dcafbd
bface,ecafbe
bfadc,cdafbc
bfade,edafbe
bfaec,ceafbc
bfaed,deafbd
bfcad,dacfbd
bfcae,eacfbe
bfcda,adcfba
bfcde,edcfbe
bfcea,aecfba
bfced,decfbd
bfdac,cadfbc
bfdae,eadfbe
bfdca,acdfba
bfdce,ecdfbe
bfdea,aedfba
bfdec,cedfbc
bfeac,caefbc
bfead,daefbd
bfeca,acefba
bfecd,dcefbd
bfeda,adefba
bfedc,cdefbc
cabde,edbace
cabdf,fdbacf
cabed,debacd
cabef,febacf
cabfd,dfbacd
cabfe,efbace
cadbe,ebdace
cadbf,fbdacf
cadeb,bedacb
cadef,fedacf
cadfb,bfdacb
cadfe,efdace
caebd,dbeacd
caebf,fbeacf
caedb,bdeacb
caedf,fdeacf
caefb,bfeacb
caefd,dfeacd
cafbd,dbfacd
cafbe,ebface
cafdb,bdfacb
cafde,edface
cafeb,befacb
cafed,defacd
cbade,edabce
cbadf,fdabcf
cbaed,deabcd
cbaef,feabcf
cbafd,dfabcd
cbafe,efabce
cbdae,eadbce
cbdaf,fadbcf
cbdea,aedbca
cbdef,fedbcf
cbdfa,afdbca
cbdfe,efdbce
cbead,daebcd
cbeaf,faebcf
cbeda,adebca
cbedf,fdebcf
cbefa,afebca
cbefd,dfebcd
cbfad,dafbcd
cbfae,eafbce
cbfda,adfbca
cbfde,edfbce
cbfea,aefbca
cbfed,defbcd
cdabe,ebadce
cdabf,fbadcf
cdaeb,beadcb
cdaef,feadcf
cdafb,bfadcb
cdafe,efadce
cdbae,eabdce
cdbaf,fabdcf
cdbea,aebdca
cdbef,febdcf
cdbfa,afbdca
cdbfe,efbdce
cdeab,baedcb
cdeaf,faedcf
cdeba,abedca
cdebf,fbedcf
cdefa,afedca
cdefb,bfedcb
cdfab,bafdcb
cdfae,eafdce
cdfba,abfdca
cdfbe,ebfdce
cdfea,aefdca
cdfeb,befdcb
ceabd,dbaecd
ceabf,fbaecf
ceadb,bdaecb
ceadf,fdaecf
ceafb,bfaecb
ceafd,dfaecd
cebad,dabecd
cebaf,fabecf
cebda,adbeca
cebdf,fdbecf
cebfa,afbeca
cebfd,dfbecd
cedab,badecb
cedaf,fadecf
cedba,abdeca
cedbf,fbdecf
cedfa,afdeca
cedfb,bfdecb
cefab,bafecb
cefad,dafecd
cefba,abfeca
cefbd,dbfecd
cefda,adfeca
cefdb,bdfecb
cfabd,dbafcd
cfabe,ebafce
cfadb,bdafcb
cfade,edafce
cfaeb,beafcb
cfaed,deafcd
cfbad,dabfcd
cfbae,eabfce
cfbda,adbfca
cfbde,edbfce
cfbea,aebfca
cfbed,debfcd
cfdab,badfcb
cfdae,eadfce
cfdba,abdfca
cfdbe,ebdfce
cfdea,aedfca
cfdeb,bedfcb
cfeab,baefcb
cfead,daefcd
cfeba,abefca
cfebd,dbefcd
cfeda,adefca
cfedb,bdefcb
dabce,ecbade
dabcf,fcbadf
dabec,cebadc
dabef,febadf
dabfc,cfbadc
dabfe,efbade
dacbe,ebcade
dacbf,fbcadf
daceb,becadb
dacef,fecadf
dacfb,bfcadb
dacfe,efcade
daebc,cbeadc
daebf,fbeadf
daecb,bceadb
daecf,fceadf
daefb,bfeadb
daefc,cfeadc
dafbc,cbfadc
dafbe,ebfade
dafcb,bcfadb
dafce,ecfade
dafeb,befadb
dafec,cefadc
dbace,ecabde
dbacf,fcabdf
dbaec,ceabdc
dbaef,feabdf
dbafc,cfabdc
dbafe,efabde
dbcae,eacbde
dbcaf,facbdf
dbcea,aecbda
dbcef,fecbdf
dbcfa,afcbda
dbcfe,efcbde
dbeac,caebdc
dbeaf,faebdf
dbeca,acebda
dbecf,fcebdf
dbefa,afebda
dbefc,cfebdc
dbfac,cafbdc
dbfae,eafbde
dbfca,acfbda
dbfce,ecfbde
dbfea,aefbda
dbfec,cefbdc
dcabe,ebacde
dcabf,fbacdf
dcaeb,beacdb
dcaef,feacdf
dcafb,bfacdb
dcafe,efacde
dcbae,eabcde
dcbaf,fabcdf
dcbea,aebcda
dcbef,febcdf
dcbfa,afbcda
dcbfe,efbcde
dceab,baecdb
dceaf,faecdf
dceba,abecda
dcebf,fbecdf
dcefa,afecda
dcefb,bfecdb
dcfab,bafcdb
dcfae,eafcde
dcfba,abfcda
dcfbe,ebfcde
dcfea,aefcda
dcfeb,befcdb
deabc,cbaedc
deabf,fbaedf
deacb,bcaedb
deacf,fcaedf
deafb,bfaedb
deafc,cfaedc
debac,cabedc
debaf,fabedf
debca,acbeda
debcf,fcbedf
debfa,afbeda
debfc,cfbedc
decab,bacedb
decaf,facedf
decba,abceda
decbf,fbcedf
decfa,afceda
decfb,bfcedb
defab,bafedb
defac,cafedc
defba,abfeda
defbc,cbfedc
defca,acfeda
defcb,bcfedb
dfabc,cbafdc
dfabe,ebafde
dfacb,bcafdb
dface,ecafde
dfaeb,beafdb
dfaec,ceafdc
dfbac,cabfdc
dfbae,eabfde
dfbca,acbfda
dfbce,ecbfde
dfbea,aebfda
dfbec,cebfdc
dfcab,bacfdb
dfcae,eacfde
dfcba,abcfda
dfcbe,ebcfde
dfcea,aecfda
dfceb,becfdb
dfeab,baefdb
dfeac,caefdc
dfeba,abefda
dfebc,cbefdc
dfeca,acefda
dfecb,bcefdb
eabcd,dcbaed
eabcf,fcbaef
eabdc,cdbaec
eabdf,fdbaef
eabfc,cfbaec
eabfd,dfbaed
eacbd,dbcaed
eacbf,fbcaef
eacdb,bdcaeb
eacdf,fdcaef
eacfb,bfcaeb
eacfd,dfcaed
eadbc,cbdaec
eadbf,fbdaef
eadcb,bcdaeb
eadcf,fcdaef
eadfb,bfdaeb
eadfc,cfdaec
eafbc,cbfaec
eafbd,dbfaed
eafcb,bcfaeb
eafcd,dcfaed
eafdb,bdfaeb
eafdc,cdfaec
ebacd,dcabed
ebacf,fcabef
ebadc,cdabec
ebadf,fdabef
ebafc,cfabec
ebafd,dfabed
ebcad,dacbed
ebcaf,facbef
ebcda,adcbea
ebcdf,fdcbef
ebcfa,afcbea
ebcfd,dfcbed
ebdac,cadbec
ebdaf,fadbef
ebdca,acdbea
ebdcf,fcdbef
ebdfa,afdbea
ebdfc,cfdbec
ebfac,cafbec
ebfad,dafbed
ebfca,acfbea
ebfcd,dcfbed
ebfda,adfbea
ebfdc,cdfbec
ecabd,dbaced
ecabf,fbacef
ecadb,bdaceb
ecadf,fdacef
ecafb,bfaceb
ecafd,dfaced
ecbad,dabced
ecbaf,fabcef
ecbda,adbcea
ecbdf,fdbcef
ecbfa,afbcea
ecbfd,dfbced
ecdab,badceb
ecdaf,fadcef
ecdba,abdcea
ecdbf,fbdcef
ecdfa,afdcea
ecdfb,bfdceb
ecfab,bafceb
ecfad,dafced
ecfba,abfcea
ecfbd,dbfced
ecfda,adfcea
ecfdb,bdfceb
edabc,cbadec
edabf,fbadef
edacb,bcadeb
edacf,fcadef
edafb,bfadeb
edafc,cfadec
edbac,cabdec
edbaf,fabdef
edbca,acbdea
edbcf,fcbdef
edbfa,afbdea
edbfc,cfbdec
edcab,bacdeb
edcaf,facdef
edcba,abcdea
edcbf,fbcdef
edcfa,afcdea
edcfb,bfcdeb
edfab,bafdeb
edfac,cafdec
edfba,abfdea
edfbc,cbfdec
edfca,acfdea
edfcb,bcfdeb
efabc,cbafec
efabd,dbafed
efacb,bcafeb
efacd,dcafed
efadb,bdafeb
efadc,cdafec
efbac,cabfec
efbad,dabfed
efbca,acbfea
efbcd,dcbfed
efbda,adbfea
efbdc,cdbfec
efcab,bacfeb
efcad,dacfed
efcba,abcfea
efcbd,dbcfed
efcda,adcfea
efcdb,bdcfeb
efdab,badfeb
efdac,cadfec
efdba,abdfea
efdbc,cbdfec
efdca,acdfea
efdcb,bcdfeb
fabcd,dcbafd
fabce,ecbafe
fabdc,cdbafc
fabde,edbafe
fabec,cebafc
fabed,debafd
facbd,dbcafd
facbe,ebcafe
facdb,bdcafb
facde,edcafe
faceb,becafb
faced,decafd
fadbc,cbdafc
fadbe,ebdafe
fadcb,bcdafb
fadce,ecdafe
fadeb,bedafb
fadec,cedafc
faebc,cbeafc
faebd,dbeafd
faecb,bceafb
faecd,dceafd
faedb,bdeafb
faedc,cdeafc
fbacd,dcabfd
fbace,ecabfe
fbadc,cdabfc
fbade,edabfe
fbaec,ceabfc
fbaed,deabfd
fbcad,dacbfd
fbcae,eacbfe
fbcda,adcbfa
fbcde,edcbfe
fbcea,aecbfa
fbced,decbfd
fbdac,cadbfc
fbdae,eadbfe
fbdca,acdbfa
fbdce,ecdbfe
fbdea,aedbfa
fbdec,cedbfc
fbeac,caebfc
fbead,daebfd
fbeca,acebfa
fbecd,dcebfd
fbeda,adebfa
fbedc,cdebfc
fcabd,dbacfd
fcabe,ebacfe
fcadb,bdacfb
fcade,edacfe
fcaeb,beacfb
fcaed,deacfd
fcbad,dabcfd
fcbae,eabcfe
fcbda,adbcfa
fcbde,edbcfe
fcbea,aebcfa
fcbed,debcfd
fcdab,badcfb
fcdae,eadcfe
fcdba,abdcfa
fcdbe,ebdcfe
fcdea,aedcfa
fcdeb,bedcfb
fceab,baecfb
fcead,daecfd
fceba,abecfa
fcebd,dbecfd
fceda,adecfa
fcedb,bdecfb
fdabc,cbadfc
fdabe,ebadfe
fdacb,bcadfb
fdace,ecadfe
fdaeb,beadfb
fdaec,ceadfc
fdbac,cabdfc
fdbae,eabdfe
fdbca,acbdfa
fdbce,ecbdfe
fdbea,aebdfa
fdbec,cebdfc
fdcab,bacdfb
fdcae,eacdfe
fdcba,abcdfa
fdcbe,ebcdfe
fdcea,aecdfa
fdceb,becdfb
fdeab,baedfb
fdeac,caedfc
fdeba,abedfa
fdebc,cbedfc
fdeca,acedfa
fdecb,bcedfb
feabc,cbaefc
feabd,dbaefd
feacb,bcaefb
feacd,dcaefd
feadb,bdaefb
feadc,cdaefc
febac,cabefc
febad,dabefd
febca,acbefa
febcd,dcbefd
febda,adbefa
febdc,cdbefc
fecab,bacefb
fecad,dacefd
fecba,abcefa
fecbd,dbcefd
fecda,adcefa
fecdb,bdcefb
fedab,badefb
fedac,cadefc
fedba,abdefa
fedbc,cbdefc
fedca,acdefa
fedcb,bcdefb
abcdef,fedcba
abcdfe,efdcba
abcedf,fdecba
abcefd,dfecba
abcfde,edfcba
abcfed,defcba
abdcef,fecdba
abdcfe,efcdba
abdecf,fcedba
abdefc,cfedba
abdfce,ecfdba
abdfec,cefdba
abecdf,fdceba
abecfd,dfceba
abedcf,fcdeba
abedfc,cfdeba
abefcd,dcfeba
abefdc,cdfeba
abfcde,edcfba
abfced,decfba
abfdce,ecdfba
abfdec,cedfba
abfecd,dcefba
abfedc,cdefba
acbdef,fedbca
acbdfe,efdbca
acbedf,fdebca
acbefd,dfebca
acbfde,edfbca
acbfed,defbca
acdbef,febdca
acdbfe,efbdca
acdebf,fbedca
acdefb,bfedca
acdfbe,ebfdca
acdfeb,befdca
acebdf,fdbeca
acebfd,dfbeca
acedbf,fbdeca
acedfb,bfdeca
acefbd,dbfeca
acefdb,bdfeca
acfbde,edbfca
acfbed,debfca
acfdbe,ebdfca
acfdeb,bedfca
acfebd,dbefca
acfedb,bdefca
adbcef,fecbda
adbcfe,efcbda
adbecf,fcebda
adbefc,cfebda
adbfce,ecfbda
adbfec,cefbda
adcbef,febcda
adcbfe,efbcda
adcebf,fbecda
adcefb,bfecda
adcfbe,ebfcda
adcfeb,befcda
adebcf,fcbeda
adebfc,cfbeda
adecbf,fbceda
adecfb,bfceda
adefbc,cbfeda
adefcb,bcfeda
adfbce,ecbfda
adfbec,cebfda
adfcbe,ebcfda
adfceb,becfda
adfebc,cbefda
adfecb,bcefda
aebcdf,fdcbea
aebcfd,dfcbea
aebdcf,fcdbea
aebdfc,cfdbea
aebfcd,dcfbea
aebfdc,cdfbea
aecbdf,fdbcea
aecbfd,dfbcea
aecdbf,fbdcea
aecdfb,bfdcea
aecfbd,dbfcea
aecfdb,bdfcea
aedbcf,fcbdea
aedbfc,cfbdea
aedcbf,fbcdea
aedcfb,bfcdea
aedfbc,cbfdea
aedfcb,bcfdea
aefbcd,dcbfea
aefbdc,cdbfea
aefcbd,dbcfea
aefcdb,bdcfea
aefdbc,cbdfea
aefdcb,bcdfea
afbcde,edcbfa
afbced,decbfa
afbdce,ecdbfa
afbdec,cedbfa
afbecd,dcebfa
afbedc,cdebfa
afcbde,edbcfa
afcbed,debcfa
afcdbe,ebdcfa
afcdeb,bedcfa
afcebd,dbecfa
afcedb,bdecfa
afdbce,ecbdfa
afdbec,cebdfa
afdcbe,ebcdfa
afdceb,becdfa
afdebc,cbedfa
afdecb,bcedfa
afebcd,dcbefa
afebdc,cdbefa
afecbd,dbcefa
afecdb,bdcefa
afedbc,cbdefa
afedcb,bcdefa
bacdef,fedcab
bacdfe,efdcab
bacedf,fdecab
bacefd,dfecab
bacfde,edfcab
bacfed,defcab
badcef,fecdab
badcfe,efcdab
badecf,fcedab
badefc,cfedab
badfce,ecfdab
badfec,cefdab
baecdf,fdceab
baecfd,dfceab
baedcf,fcdeab
baedfc,cfdeab
baefcd,dcfeab
baefdc,cdfeab
bafcde,edcfab
bafced,decfab
bafdce,ecdfab
bafdec,cedfab
bafecd,dcefab
bafedc,cdefab
bcadef,fedacb
bcadfe,efdacb
bcaedf,fdeacb
bcaefd,dfeacb
bcafde,edfacb
bcafed,defacb
bcdaef,feadcb
bcdafe,efadcb
bcdeaf,faedcb
bcdefa,afedcb
bcdfae,eafdcb
bcdfea,aefdcb
bceadf,fdaecb
bceafd,dfaecb
bcedaf,fadecb
bcedfa,afdecb
bcefad,dafecb
bcefda,adfecb
bcfade,edafcb
bcfaed,deafcb
bcfdae,eadfcb
bcfdea,aedfcb
bcfead,daefcb
bcfeda,adefcb
bdacef,fecadb
bdacfe,efcadb
bdaecf,fceadb
bdaefc,cfeadb
bdafce,ecfadb
bdafec,cefadb
bdcaef,feacdb
