a,aaa3c2b1
ad4c,c4daccb1
ad43,34da33b1
a41b,b14abbb1
a412,214a22b1
a41c,c14accb1
a413,314a33b1
a41d,d14addb1
a4b1,1b4a11b1
a4b2,2b4a22b1
a4bc,cb4accb1
a4b3,3b4a33b1
a4bd,db4addb1
a421,124a11b1
a42b,b24abbb1
a42c,c24accb1
a423,324a33b1
a42d,d24addb1
a4c1,1c4a11b1
a4cb,bc4abbb1
a4c2,2c4a22b1
a4c3,3c4a33b1
a4cd,dc4addb1
a431,134a11b1
a43b,b34abbb1
a432,234a22b1
a43c,c34accb1
a43d,d34addb1
a4d1,1d4a11b1
a4db,bd4abbb1
a4d2,2d4a22b1
a4dc,cd4accb1
a4d3,3d4a33b1
1ab2,2ba122b1
1abc,cba1ccb1
1ab3,3ba133b1
1abd,dba1ddb1
1ab4,4ba144b1
1a2b,b2a1bbb1
1a2c,c2a1ccb1
1a23,32a133b1
1a2d,d2a1ddb1
1a24,42a144b1
1acb,bca1bbb1
1ac2,2ca122b1
1ac3,3ca133b1
1acd,dca1ddb1
1ac4,4ca144b1
1a3b,b3a1bbb1
1a32,23a122b1
1a3c,c3a1ccb1
1a3d,d3a1ddb1
1a34,43a144b1
1adb,bda1bbb1
1ad2,2da122b1
1adc,cda1ccb1
1ad3,3da133b1
1ad4,4da144b1
1a4b,b4a1bbb1
1a42,24a122b1
1a4c,c4a1ccb1
1a43,34a133b1
1a4d,d4a1ddb1
1ba2,2ab122b1
1bac,cab1ccb1
1ba3,3ab133b1
1bad,dab1ddb1
1ba4,4ab144b1
1b2a,a2b1aab1
1b2c,c2b1ccb1
1b23,32b133b1
1b2d,d2b1ddb1
1b24,42b144b1
1bca,acb1aab1
1bc2,2cb122b1
1bc3,3cb133b1
1bcd,dcb1ddb1
1bc4,4cb144b1
1b3a,a3b1aab1
1b32,23b122b1
1b3c,c3b1ccb1
1b3d,d3b1ddb1
1b34,43b144b1
1bda,adb1aab1
1bd2,2db122b1
1bdc,cdb1ccb1
1bd3,3db133b1
1bd4,4db144b1
1b4a,a4b1aab1
1b42,24b122b1
1b4c,c4b1ccb1
1b43,34b133b1
1b4d,d4b1ddb1
12ab,ba21bbb1
12ac,ca21ccb1
12a3,3a2133b1
12ad,da21ddb1
12a4,4a2144b1
12ba,ab21aab1
12bc,cb21ccb1
12b3,3b2133b1
12bd,db21ddb1
12b4,4b2144b1
12ca,ac21aab1
12cb,bc21bbb1
12c3,3c2133b1
12cd,dc21ddb1
12c4,4c2144b1
123a,a321aab1
123b,b321bbb1
123c,c321ccb1
123d,d321ddb1
1234,432144b1
12da,ad21aab1
12db,bd21bbb1
12dc,cd21ccb1
12d3,3d2133b1
12d4,4d2144b1
124a,a421aab1
124b,b421bbb1
124c,c421ccb1
1243,342133b1
124d,d421ddb1
1cab,bac1bbb1
1ca2,2ac122b1
1ca3,3ac133b1
1cad,dac1ddb1
1ca4,4ac144b1
1cba,abc1aab1
1cb2,2bc122b1
1cb3,3bc133b1
1cbd,dbc1ddb1
1cb4,4bc144b1
1c2a,a2c1aab1
1c2b,b2c1bbb1
1c23,32c133b1
1c2d,d2c1ddb1
1c24,42c144b1
1c3a,a3c1aab1
1c3b,b3c1bbb1
1c32,23c122b1
1c3d,d3c1ddb1
1c34,43c144b1
1cda,adc1aab1
1cdb,bdc1bbb1
1cd2,2dc122b1
1cd3,3dc133b1
1cd4,4dc144b1
1c4a,a4c1aab1
1c4b,b4c1bbb1
1c42,24c122b1
1c43,34c133b1
1c4d,d4c1ddb1
13ab,ba31bbb1
13a2,2a3122b1
13ac,ca31ccb1
13ad,da31ddb1
13a4,4a3144b1
13ba,ab31aab1
13b2,2b3122b1
13bc,cb31ccb1
13bd,db31ddb1
13b4,4b3144b1
132a,a231aab1
132b,b231bbb1
132c,c231ccb1
132d,d231ddb1
1324,423144b1
13ca,ac31aab1
13cb,bc31bbb1
13c2,2c3122b1
13cd,dc31ddb1
13c4,4c3144b1
13da,ad31aab1
13db,bd31bbb1
13d2,2d3122b1
13dc,cd31ccb1
13d4,4d3144b1
134a,a431aab1
134b,b431bbb1
1342,243122b1
134c,c431ccb1
134d,d431ddb1
1dab,bad1bbb1
1da2,2ad122b1
1dac,cad1ccb1
1da3,3ad133b1
1da4,4ad144b1
1dba,abd1aab1
1db2,2bd122b1
1dbc,cbd1ccb1
1db3,3bd133b1
1db4,4bd144b1
1d2a,a2d1aab1
1d2b,b2d1bbb1
1d2c,c2d1ccb1
1d23,32d133b1
1d24,42d144b1
1dca,acd1aab1
1dcb,bcd1bbb1
1dc2,2cd122b1
1dc3,3cd133b1
1dc4,4cd144b1
1d3a,a3d1aab1
1d3b,b3d1bbb1
1d32,23d122b1
1d3c,c3d1ccb1
1d34,43d144b1
1d4a,a4d1aab1
1d4b,b4d1bbb1
1d42,24d122b1
1d4c,c4d1ccb1
1d43,34d133b1
14ab,ba41bbb1
14a2,2a4122b1
14ac,ca41ccb1
14a3,3a4133b1
14ad,da41ddb1
14ba,ab41aab1
14b2,2b4122b1
14bc,cb41ccb1
14b3,3b4133b1
14bd,db41ddb1
142a,a241aab1
142b,b241bbb1
142c,c241ccb1
1423,324133b1
142d,d241ddb1
14ca,ac41aab1
14cb,bc41bbb1
14c2,2c4122b1
14c3,3c4133b1
14cd,dc41ddb1
143a,a341aab1
143b,b341bbb1
1432,234122b1
143c,c341ccb1
143d,d341ddb1
14da,ad41aab1
14db,bd41bbb1
14d2,2d4122b1
14dc,cd41ccb1
14d3,3d4133b1
ba12,21ab22b1
ba1c,c1abccb1
ba13,31ab33b1
ba1d,d1abddb1
ba14,41ab44b1
ba21,12ab11b1
ba2c,c2abccb1
ba23,32ab33b1
ba2d,d2abddb1
ba24,42ab44b1
bac1,1cab11b1
bac2,2cab22b1
bac3,3cab33b1
bacd,dcabddb1
bac4,4cab44b1
ba31,13ab11b1
ba32,23ab22b1
ba3c,c3abccb1
ba3d,d3abddb1
ba34,43ab44b1
bad1,1dab11b1
bad2,2dab22b1
badc,cdabccb1
bad3,3dab33b1
bad4,4dab44b1
ba41,14ab11b1
ba42,24ab22b1
ba4c,c4abccb1
ba43,34ab33b1
ba4d,d4abddb1
b1a2,2a1b22b1
b1ac,ca1bccb1
b1a3,3a1b33b1
b1ad,da1bddb1
b1a4,4a1b44b1
b12a,a21baab1
b12c,c21bccb1
b123,321b33b1
b12d,d21bddb1
b124,421b44b1
b1ca,ac1baab1
b1c2,2c1b22b1
b1c3,3c1b33b1
b1cd,dc1bddb1
b1c4,4c1b44b1
b13a,a31baab1
b132,231b22b1
b13c,c31bccb1
b13d,d31bddb1
b134,431b44b1
b1da,ad1baab1
b1d2,2d1b22b1
b1dc,cd1bccb1
b1d3,3d1b33b1
b1d4,4d1b44b1
b14a,a41baab1
b142,241b22b1
b14c,c41bccb1
b143,341b33b1
b14d,d41bddb1
b2a1,1a2b11b1
b2ac,ca2bccb1
b2a3,3a2b33b1
b2ad,da2bddb1
b2a4,4a2b44b1
b21a,a12baab1
b21c,c12bccb1
b213,312b33b1
b21d,d12bddb1
b214,412b44b1
b2ca,ac2baab1
b2c1,1c2b11b1
b2c3,3c2b33b1
b2cd,dc2bddb1
b2c4,4c2b44b1
b23a,a32baab1
b231,132b11b1
b23c,c32bccb1
b23d,d32bddb1
b234,432b44b1
b2da,ad2baab1
b2d1,1d2b11b1
b2dc,cd2bccb1
b2d3,3d2b33b1
b2d4,4d2b44b1
b24a,a42baab1
b241,142b11b1
b24c,c42bccb1
b243,342b33b1
b24d,d42bddb1
bca1,1acb11b1
bca2,2acb22b1
bca3,3acb33b1
bcad,dacbddb1
bca4,4acb44b1
bc1a,a1cbaab1
bc12,21cb22b1
bc13,31cb33b1
bc1d,d1cbddb1
bc14,41cb44b1
bc2a,a2cbaab1
bc21,12cb11b1
bc23,32cb33b1
bc2d,d2cbddb1
bc24,42cb44b1
bc3a,a3cbaab1
bc31,13cb11b1
bc32,23cb22b1
bc3d,d3cbddb1
bc34,43cb44b1
bcda,adcbaab1
bcd1,1dcb11b1
bcd2,2dcb22b1
bcd3,3dcb33b1
bcd4,4dcb44b1
bc4a,a4cbaab1
bc41,14cb11b1
bc42,24cb22b1
bc43,34cb33b1
bc4d,d4cbddb1
b3a1,1a3b11b1
b3a2,2a3b22b1
b3ac,ca3bccb1
b3ad,da3bddb1
b3a4,4a3b44b1
b31a,a13baab1
b312,213b22b1
b31c,c13bccb1
b31d,d13bddb1
b314,413b44b1
b32a,a23baab1
b321,123b11b1
b32c,c23bccb1
b32d,d23bddb1
b324,423b44b1
b3ca,ac3baab1
b3c1,1c3b11b1
b3c2,2c3b22b1
b3cd,dc3bddb1
b3c4,4c3b44b1
b3da,ad3baab1
b3d1,1d3b11b1
b3d2,2d3b22b1
b3dc,cd3bccb1
b3d4,4d3b44b1
b34a,a43baab1
b341,143b11b1
b342,243b22b1
b34c,c43bccb1
b34d,d43bddb1
bda1,1adb11b1
bda2,2adb22b1
bdac,cadbccb1
bda3,3adb33b1
bda4,4adb44b1
bd1a,a1dbaab1
bd12,21db22b1
bd1c,c1dbccb1
bd13,31db33b1
bd14,41db44b1
bd2a,a2dbaab1
bd21,12db11b1
bd2c,c2dbccb1
bd23,32db33b1
bd24,42db44b1
bdca,acdbaab1
bdc1,1cdb11b1
bdc2,2cdb22b1
bdc3,3cdb33b1
bdc4,4cdb44b1
bd3a,a3dbaab1
bd31,13db11b1
bd32,23db22b1
bd3c,c3dbccb1
bd34,43db44b1
bd4a,a4dbaab1
bd41,14db11b1
bd42,24db22b1
bd4c,c4dbccb1
bd43,34db33b1
b4a1,1a4b11b1
b4a2,2a4b22b1
b4ac,ca4bccb1
b4a3,3a4b33b1
b4ad,da4bddb1
b41a,a14baab1
b412,214b22b1
b41c,c14bccb1
b413,314b33b1
b41d,d14bddb1
b42a,a24baab1
b421,124b11b1
b42c,c24bccb1
b423,324b33b1
b42d,d24bddb1
b4ca,ac4baab1
b4c1,1c4b11b1
b4c2,2c4b22b1
b4c3,3c4b33b1
b4cd,dc4bddb1
b43a,a34baab1
b431,134b11b1
b432,234b22b1
b43c,c34bccb1
b43d,d34bddb1
b4da,ad4baab1
b4d1,1d4b11b1
b4d2,2d4b22b1
b4dc,cd4bccb1
b4d3,3d4b33b1
2a1b,b1a2bbb1
2a1c,c1a2ccb1
2a13,31a233b1
2a1d,d1a2ddb1
2a14,41a244b1
2ab1,1ba211b1
2abc,cba2ccb1
2ab3,3ba233b1
2abd,dba2ddb1
2ab4,4ba244b1
2ac1,1ca211b1
2acb,bca2bbb1
2ac3,3ca233b1
2acd,dca2ddb1
2ac4,4ca244b1
2a31,13a211b1
2a3b,b3a2bbb1
2a3c,c3a2ccb1
2a3d,d3a2ddb1
2a34,43a244b1
2ad1,1da211b1
2adb,bda2bbb1
2adc,cda2ccb1
2ad3,3da233b1
2ad4,4da244b1
2a41,14a211b1
2a4b,b4a2bbb1
2a4c,c4a2ccb1
2a43,34a233b1
2a4d,d4a2ddb1
21ab,ba12bbb1
21ac,ca12ccb1
21a3,3a1233b1
21ad,da12ddb1
21a4,4a1244b1
21ba,ab12aab1
21bc,cb12ccb1
21b3,3b1233b1
21bd,db12ddb1
21b4,4b1244b1
21ca,ac12aab1
21cb,bc12bbb1
21c3,3c1233b1
21cd,dc12ddb1
21c4,4c1244b1
213a,a312aab1
213b,b312bbb1
213c,c312ccb1
213d,d312ddb1
2134,431244b1
21da,ad12aab1
21db,bd12bbb1
21dc,cd12ccb1
21d3,3d1233b1
21d4,4d1244b1
214a,a412aab1
214b,b412bbb1
214c,c412ccb1
2143,341233b1
214d,d412ddb1
2ba1,1ab211b1
2bac,cab2ccb1
2ba3,3ab233b1
2bad,dab2ddb1
2ba4,4ab244b1
2b1a,a1b2aab1
2b1c,c1b2ccb1
2b13,31b233b1
2b1d,d1b2ddb1
2b14,41b244b1
2bca,acb2aab1
2bc1,1cb211b1
2bc3,3cb233b1
2bcd,dcb2ddb1
2bc4,4cb244b1
2b3a,a3b2aab1
2b31,13b211b1
2b3c,c3b2ccb1
2b3d,d3b2ddb1
2b34,43b244b1
2bda,adb2aab1
2bd1,1db211b1
2bdc,cdb2ccb1
2bd3,3db233b1
2bd4,4db244b1
2b4a,a4b2aab1
2b41,14b211b1
2b4c,c4b2ccb1
2b43,34b233b1
2b4d,d4b2ddb1
2ca1,1ac211b1
2cab,bac2bbb1
2ca3,3ac233b1
2cad,dac2ddb1
2ca4,4ac244b1
2c1a,a1c2aab1
2c1b,b1c2bbb1
2c13,31c233b1
2c1d,d1c2ddb1
2c14,41c244b1
2cba,abc2aab1
2cb1,1bc211b1
2cb3,3bc233b1
2cbd,dbc2ddb1
2cb4,4bc244b1
2c3a,a3c2aab1
2c31,13c211b1
2c3b,b3c2bbb1
2c3d,d3c2ddb1
2c34,43c244b1
2cda,adc2aab1
2cd1,1dc211b1
2cdb,bdc2bbb1
2cd3,3dc233b1
2cd4,4dc244b1
2c4a,a4c2aab1
2c41,14c211b1
2c4b,b4c2bbb1
2c43,34c233b1
2c4d,d4c2ddb1
23a1,1a3211b1
23ab,ba32bbb1
23ac,ca32ccb1
23ad,da32ddb1
23a4,4a3244b1
231a,a132aab1
231b,b132bbb1
231c,c132ccb1
231d,d132ddb1
2314,413244b1
23ba,ab32aab1
23b1,1b3211b1
23bc,cb32ccb1
23bd,db32ddb1
23b4,4b3244b1
23ca,ac32aab1
23c1,1c3211b1
23cb,bc32bbb1
23cd,dc32ddb1
23c4,4c3244b1
23da,ad32aab1
23d1,1d3211b1
23db,bd32bbb1
23dc,cd32ccb1
23d4,4d3244b1
234a,a432aab1
2341,143211b1
234b,b432bbb1
234c,c432ccb1
234d,d432ddb1
2da1,1ad211b1
2dab,bad2bbb1
2dac,cad2ccb1
2da3,3ad233b1
2da4,4ad244b1
2d1a,a1d2aab1
2d1b,b1d2bbb1
2d1c,c1d2ccb1
2d13,31d233b1
2d14,41d244b1
2dba,abd2aab1
2db1,1bd211b1
2dbc,cbd2ccb1
2db3,3bd233b1
2db4,4bd244b1
2dca,acd2aab1
2dc1,1cd211b1
2dcb,bcd2bbb1
2dc3,3cd233b1
2dc4,4cd244b1
2d3a,a3d2aab1
2d31,13d211b1
2d3b,b3d2bbb1
2d3c,c3d2ccb1
2d34,43d244b1
2d4a,a4d2aab1
2d41,14d211b1
2d4b,b4d2bbb1
2d4c,c4d2ccb1
2d43,34d233b1
24a1,1a4211b1
24ab,ba42bbb1
24ac,ca42ccb1
24a3,3a4233b1
24ad,da42ddb1
241a,a142aab1
241b,b142bbb1
241c,c142ccb1
2413,314233b1
241d,d142ddb1
24ba,ab42aab1
24b1,1b4211b1
24bc,cb42ccb1
24b3,3b4233b1
24bd,db42ddb1
24ca,ac42aab1
24c1,1c4211b1
24cb,bc42bbb1
24c3,3c4233b1
24cd,dc42ddb1
243a,a342aab1
2431,134211b1
243b,b342bbb1
243c,c342ccb1
243d,d342ddb1
24da,ad42aab1
24d1,1d4211b1
24db,bd42bbb1
24dc,cd42ccb1
24d3,3d4233b1
ca1b,b1acbbb1
ca12,21ac22b1
ca13,31ac33b1
ca1d,d1acddb1
ca14,41ac44b1
cab1,1bac11b1
cab2,2bac22b1
cab3,3bac33b1
