a,aaaedcb
egf,fgeffcb
fab,bafbbcb
fac,cafcccb
fad,dafddcb
fae,eafeecb
fag,gafggcb
fba,abfaacb
fbc,cbfcccb
fbd,dbfddcb
fbe,ebfeecb
fbg,gbfggcb
fca,acfaacb
fcb,bcfbbcb
fcd,dcfddcb
fce,ecfeecb
fcg,gcfggcb
fda,adfaacb
fdb,bdfbbcb
fdc,cdfcccb
fde,edfeecb
fdg,gdfggcb
fea,aefaacb
feb,befbbcb
fec,cefcccb
fed,defddcb
feg,gefggcb
fga,agfaacb
fgb,bgfbbcb
fgc,cgfcccb
fgd,dgfddcb
fge,egfeecb
gab,bagbbcb
gac,cagcccb
gad,dagddcb
gae,eageecb
gaf,fagffcb
gba,abgaacb
gbc,cbgcccb
gbd,dbgddcb
gbe,ebgeecb
gbf,fbgffcb
gca,acgaacb
gcb,bcgbbcb
gcd,dcgddcb
gce,ecgeecb
gcf,fcgffcb
gda,adgaacb
gdb,bdgbbcb
gdc,cdgcccb
gde,edgeecb
gdf,fdgffcb
gea,aegaacb
geb,begbbcb
gec,cegcccb
ged,degddcb
gef,fegffcb
gfa,afgaacb
gfb,bfgbbcb
gfc,cfgcccb
gfd,dfgddcb
gfe,efgeecb
abcd,dcbaddb
abce,ecbaeeb
abcf,fcbaffb
abcg,gcbaggb
abdc,cdbaccb
abde,edbaeeb
abdf,fdbaffb
abdg,gdbaggb
abec,cebaccb
abed,debaddb
abef,febaffb
abeg,gebaggb
abfc,cfbaccb
abfd,dfbaddb
abfe,efbaeeb
abfg,gfbaggb
abgc,cgbaccb
abgd,dgbaddb
abge,egbaeeb
abgf,fgbaffb
acbd,dbcaddb
acbe,ebcaeeb
acbf,fbcaffb
acbg,gbcaggb
acdb,bdcabbb
acde,edcaeeb
acdf,fdcaffb
acdg,gdcaggb
aceb,becabbb
aced,decaddb
acef,fecaffb
aceg,gecaggb
acfb,bfcabbb
acfd,dfcaddb
acfe,efcaeeb
acfg,gfcaggb
acgb,bgcabbb
acgd,dgcaddb
acge,egcaeeb
acgf,fgcaffb
adbc,cbdaccb
adbe,ebdaeeb
adbf,fbdaffb
adbg,gbdaggb
adcb,bcdabbb
adce,ecdaeeb
adcf,fcdaffb
adcg,gcdaggb
adeb,bedabbb
adec,cedaccb
adef,fedaffb
adeg,gedaggb
adfb,bfdabbb
adfc,cfdaccb
adfe,efdaeeb
adfg,gfdaggb
adgb,bgdabbb
adgc,cgdaccb
adge,egdaeeb
adgf,fgdaffb
aebc,cbeaccb
aebd,dbeaddb
aebf,fbeaffb
aebg,gbeaggb
aecb,bceabbb
aecd,dceaddb
aecf,fceaffb
aecg,gceaggb
aedb,bdeabbb
aedc,cdeaccb
aedf,fdeaffb
aedg,gdeaggb
aefb,bfeabbb
aefc,cfeaccb
aefd,dfeaddb
aefg,gfeaggb
aegb,bgeabbb
aegc,cgeaccb
aegd,dgeaddb
aegf,fgeaffb
afbc,cbfaccb
afbd,dbfaddb
afbe,ebfaeeb
afbg,gbfaggb
afcb,bcfabbb
afcd,dcfaddb
afce,ecfaeeb
afcg,gcfaggb
afdb,bdfabbb
afdc,cdfaccb
afde,edfaeeb
afdg,gdfaggb
afeb,befabbb
afec,cefaccb
afed,defaddb
afeg,gefaggb
afgb,bgfabbb
afgc,cgfaccb
afgd,dgfaddb
afge,egfaeeb
agbc,cbgaccb
agbd,dbgaddb
agbe,ebgaeeb
agbf,fbgaffb
agcb,bcgabbb
agcd,dcgaddb
agce,ecgaeeb
agcf,fcgaffb
agdb,bdgabbb
agdc,cdgaccb
agde,edgaeeb
agdf,fdgaffb
ageb,begabbb
agec,cegaccb
aged,degaddb
agef,fegaffb
agfb,bfgabbb
agfc,cfgaccb
agfd,dfgaddb
agfe,efgaeeb
bacd,dcabddb
bace,ecabeeb
bacf,fcabffb
bacg,gcabggb
badc,cdabccb
bade,edabeeb
badf,fdabffb
badg,gdabggb
baec,ceabccb
baed,deabddb
baef,feabffb
baeg,geabggb
bafc,cfabccb
bafd,dfabddb
bafe,efabeeb
bafg,gfabggb
bagc,cgabccb
bagd,dgabddb
bage,egabeeb
bagf,fgabffb
bcad,dacbddb
bcae,eacbeeb
bcaf,facbffb
bcag,gacbggb
bcda,adcbaab
bcde,edcbeeb
bcdf,fdcbffb
bcdg,gdcbggb
bcea,aecbaab
bced,decbddb
bcef,fecbffb
bceg,gecbggb
bcfa,afcbaab
bcfd,dfcbddb
bcfe,efcbeeb
bcfg,gfcbggb
bcga,agcbaab
bcgd,dgcbddb
bcge,egcbeeb
bcgf,fgcbffb
bdac,cadbccb
bdae,eadbeeb
bdaf,fadbffb
bdag,gadbggb
bdca,acdbaab
bdce,ecdbeeb
bdcf,fcdbffb
bdcg,gcdbggb
bdea,aedbaab
bdec,cedbccb
bdef,fedbffb
bdeg,gedbggb
bdfa,afdbaab
bdfc,cfdbccb
bdfe,efdbeeb
bdfg,gfdbggb
bdga,agdbaab
bdgc,cgdbccb
bdge,egdbeeb
bdgf,fgdbffb
beac,caebccb
bead,daebddb
beaf,faebffb
beag,gaebggb
beca,acebaab
becd,dcebddb
becf,fcebffb
becg,gcebggb
beda,adebaab
bedc,cdebccb
bedf,fdebffb
bedg,gdebggb
befa,afebaab
befc,cfebccb
befd,dfebddb
befg,gfebggb
bega,agebaab
begc,cgebccb
begd,dgebddb
begf,fgebffb
bfac,cafbccb
bfad,dafbddb
bfae,eafbeeb
bfag,gafbggb
bfca,acfbaab
bfcd,dcfbddb
bfce,ecfbeeb
bfcg,gcfbggb
bfda,adfbaab
bfdc,cdfbccb
bfde,edfbeeb
bfdg,gdfbggb
bfea,aefbaab
bfec,cefbccb
bfed,defbddb
bfeg,gefbggb
bfga,agfbaab
bfgc,cgfbccb
bfgd,dgfbddb
bfge,egfbeeb
bgac,cagbccb
bgad,dagbddb
bgae,eagbeeb
bgaf,fagbffb
bgca,acgbaab
bgcd,dcgbddb
bgce,ecgbeeb
bgcf,fcgbffb
bgda,adgbaab
bgdc,cdgbccb
bgde,edgbeeb
bgdf,fdgbffb
bgea,aegbaab
bgec,cegbccb
bged,degbddb
bgef,fegbffb
bgfa,afgbaab
bgfc,cfgbccb
bgfd,dfgbddb
bgfe,efgbeeb
cabd,dbacddb
cabe,ebaceeb
cabf,fbacffb
cabg,gbacggb
cadb,bdacbbb
cade,edaceeb
cadf,fdacffb
cadg,gdacggb
caeb,beacbbb
caed,deacddb
caef,feacffb
caeg,geacggb
cafb,bfacbbb
cafd,dfacddb
cafe,efaceeb
cafg,gfacggb
cagb,bgacbbb
cagd,dgacddb
cage,egaceeb
cagf,fgacffb
cbad,dabcddb
cbae,eabceeb
cbaf,fabcffb
cbag,gabcggb
cbda,adbcaab
cbde,edbceeb
cbdf,fdbcffb
cbdg,gdbcggb
cbea,aebcaab
cbed,debcddb
cbef,febcffb
cbeg,gebcggb
cbfa,afbcaab
cbfd,dfbcddb
cbfe,efbceeb
cbfg,gfbcggb
cbga,agbcaab
cbgd,dgbcddb
cbge,egbceeb
cbgf,fgbcffb
cdab,badcbbb
cdae,eadceeb
cdaf,fadcffb
cdag,gadcggb
cdba,abdcaab
cdbe,ebdceeb
cdbf,fbdcffb
cdbg,gbdcggb
cdea,aedcaab
cdeb,bedcbbb
cdef,fedcffb
cdeg,gedcggb
cdfa,afdcaab
cdfb,bfdcbbb
cdfe,efdceeb
cdfg,gfdcggb
cdga,agdcaab
cdgb,bgdcbbb
cdge,egdceeb
cdgf,fgdcffb
ceab,baecbbb
cead,daecddb
ceaf,faecffb
ceag,gaecggb
ceba,abecaab
cebd,dbecddb
cebf,fbecffb
cebg,gbecggb
ceda,adecaab
cedb,bdecbbb
cedf,fdecffb
cedg,gdecggb
cefa,afecaab
cefb,bfecbbb
cefd,dfecddb
cefg,gfecggb
cega,agecaab
cegb,bgecbbb
cegd,dgecddb
cegf,fgecffb
cfab,bafcbbb
cfad,dafcddb
cfae,eafceeb
cfag,gafcggb
cfba,abfcaab
cfbd,dbfcddb
cfbe,ebfceeb
cfbg,gbfcggb
cfda,adfcaab
cfdb,bdfcbbb
cfde,edfceeb
cfdg,gdfcggb
cfea,aefcaab
cfeb,befcbbb
cfed,defcddb
cfeg,gefcggb
cfga,agfcaab
cfgb,bgfcbbb
cfgd,dgfcddb
cfge,egfceeb
cgab,bagcbbb
cgad,dagcddb
cgae,eagceeb
cgaf,fagcffb
cgba,abgcaab
cgbd,dbgcddb
cgbe,ebgceeb
cgbf,fbgcffb
cgda,adgcaab
cgdb,bdgcbbb
cgde,edgceeb
cgdf,fdgcffb
cgea,aegcaab
cgeb,begcbbb
cged,degcddb
cgef,fegcffb
cgfa,afgcaab
cgfb,bfgcbbb
cgfd,dfgcddb
cgfe,efgceeb
dabc,cbadccb
dabe,ebadeeb
dabf,fbadffb
dabg,gbadggb
dacb,bcadbbb
dace,ecadeeb
dacf,fcadffb
dacg,gcadggb
daeb,beadbbb
daec,ceadccb
daef,feadffb
daeg,geadggb
dafb,bfadbbb
dafc,cfadccb
dafe,efadeeb
dafg,gfadggb
dagb,bgadbbb
dagc,cgadccb
dage,egadeeb
dagf,fgadffb
dbac,cabdccb
dbae,eabdeeb
dbaf,fabdffb
dbag,gabdggb
dbca,acbdaab
dbce,ecbdeeb
dbcf,fcbdffb
dbcg,gcbdggb
dbea,aebdaab
dbec,cebdccb
dbef,febdffb
dbeg,gebdggb
dbfa,afbdaab
dbfc,cfbdccb
dbfe,efbdeeb
dbfg,gfbdggb
dbga,agbdaab
dbgc,cgbdccb
dbge,egbdeeb
dbgf,fgbdffb
dcab,bacdbbb
dcae,eacdeeb
dcaf,facdffb
dcag,gacdggb
dcba,abcdaab
dcbe,ebcdeeb
dcbf,fbcdffb
dcbg,gbcdggb
dcea,aecdaab
dceb,becdbbb
dcef,fecdffb
dceg,gecdggb
dcfa,afcdaab
dcfb,bfcdbbb
dcfe,efcdeeb
dcfg,gfcdggb
dcga,agcdaab
dcgb,bgcdbbb
dcge,egcdeeb
dcgf,fgcdffb
deab,baedbbb
deac,caedccb
deaf,faedffb
deag,gaedggb
deba,abedaab
debc,cbedccb
debf,fbedffb
debg,gbedggb
deca,acedaab
decb,bcedbbb
decf,fcedffb
decg,gcedggb
defa,afedaab
defb,bfedbbb
defc,cfedccb
defg,gfedggb
dega,agedaab
degb,bgedbbb
degc,cgedccb
degf,fgedffb
dfab,bafdbbb
dfac,cafdccb
dfae,eafdeeb
dfag,gafdggb
dfba,abfdaab
dfbc,cbfdccb
dfbe,ebfdeeb
dfbg,gbfdggb
dfca,acfdaab
dfcb,bcfdbbb
dfce,ecfdeeb
dfcg,gcfdggb
dfea,aefdaab
dfeb,befdbbb
dfec,cefdccb
dfeg,gefdggb
dfga,agfdaab
dfgb,bgfdbbb
dfgc,cgfdccb
dfge,egfdeeb
dgab,bagdbbb
dgac,cagdccb
dgae,eagdeeb
dgaf,fagdffb
dgba,abgdaab
dgbc,cbgdccb
dgbe,ebgdeeb
dgbf,fbgdffb
dgca,acgdaab
dgcb,bcgdbbb
dgce,ecgdeeb
dgcf,fcgdffb
dgea,aegdaab
dgeb,begdbbb
dgec,cegdccb
dgef,fegdffb
dgfa,afgdaab
dgfb,bfgdbbb
dgfc,cfgdccb
dgfe,efgdeeb
eabc,cbaeccb
eabd,dbaeddb
eabf,fbaeffb
eabg,gbaeggb
eacb,bcaebbb
eacd,dcaeddb
eacf,fcaeffb
eacg,gcaeggb
eadb,bdaebbb
eadc,cdaeccb
eadf,fdaeffb
eadg,gdaeggb
eafb,bfaebbb
eafc,cfaeccb
eafd,dfaeddb
eafg,gfaeggb
eagb,bgaebbb
eagc,cgaeccb
eagd,dgaeddb
eagf,fgaeffb
ebac,cabeccb
ebad,dabeddb
ebaf,fabeffb
ebag,gabeggb
ebca,acbeaab
ebcd,dcbeddb
ebcf,fcbeffb
ebcg,gcbeggb
ebda,adbeaab
ebdc,cdbeccb
ebdf,fdbeffb
ebdg,gdbeggb
ebfa,afbeaab
ebfc,cfbeccb
ebfd,dfbeddb
ebfg,gfbeggb
ebga,agbeaab
ebgc,cgbeccb
ebgd,dgbeddb
ebgf,fgbeffb
ecab,bacebbb
ecad,daceddb
ecaf,faceffb
ecag,gaceggb
ecba,abceaab
ecbd,dbceddb
ecbf,fbceffb
ecbg,gbceggb
ecda,adceaab
ecdb,bdcebbb
ecdf,fdceffb
ecdg,gdceggb
ecfa,afceaab
ecfb,bfcebbb
ecfd,dfceddb
ecfg,gfceggb
ecga,agceaab
ecgb,bgcebbb
ecgd,dgceddb
ecgf,fgceffb
edab,badebbb
edac,cadeccb
edaf,fadeffb
edag,gadeggb
edba,abdeaab
edbc,cbdeccb
edbf,fbdeffb
edbg,gbdeggb
edca,acdeaab
edcb,bcdebbb
edcf,fcdeffb
edcg,gcdeggb
edfa,afdeaab
edfb,bfdebbb
edfc,cfdeccb
edfg,gfdeggb
edga,agdeaab
edgb,bgdebbb
edgc,cgdeccb
edgf,fgdeffb
efab,bafebbb
efac,cafeccb
efad,dafeddb
efag,gafeggb
efba,abfeaab
efbc,cbfeccb
efbd,dbfeddb
efbg,gbfeggb
efca,acfeaab
efcb,bcfebbb
efcd,dcfeddb
efcg,gcfeggb
efda,adfeaab
efdb,bdfebbb
efdc,cdfeccb
efdg,gdfeggb
efga,agfeaab
efgb,bgfebbb
efgc,cgfeccb
efgd,dgfeddb
egab,bagebbb
egac,cageccb
egad,dageddb
egaf,fageffb
egba,abgeaab
egbc,cbgeccb
egbd,dbgeddb
egbf,fbgeffb
egca,acgeaab
egcb,bcgebbb
egcd,dcgeddb
egcf,fcgeffb
egda,adgeaab
egdb,bdgebbb
egdc,cdgeccb
egdf,fdgeffb
egfa,afgeaab
egfb,bfgebbb
egfc,cfgeccb
egfd,dfgeddb
fabc,cbafccb
fabd,dbafddb
fabe,ebafeeb
fabg,gbafggb
facb,bcafbbb
facd,dcafddb
face,ecafeeb
facg,gcafggb
fadb,bdafbbb
fadc,cdafccb
fade,edafeeb
fadg,gdafggb
faeb,beafbbb
faec,ceafccb
faed,deafddb
faeg,geafggb
fagb,bgafbbb
fagc,cgafccb
fagd,dgafddb
fage,egafeeb
fbac,cabfccb
fbad,dabfddb
fbae,eabfeeb
fbag,gabfggb
fbca,acbfaab
fbcd,dcbfddb
fbce,ecbfeeb
fbcg,gcbfggb
fbda,adbfaab
fbdc,cdbfccb
fbde,edbfeeb
fbdg,gdbfggb
fbea,aebfaab
fbec,cebfccb
fbed,debfddb
fbeg,gebfggb
fbga,agbfaab
fbgc,cgbfccb
fbgd,dgbfddb
fbge,egbfeeb
fcab,bacfbbb
fcad,dacfddb
fcae,eacfeeb
fcag,gacfggb
fcba,abcfaab
fcbd,dbcfddb
fcbe,ebcfeeb
fcbg,gbcfggb
fcda,adcfaab
fcdb,bdcfbbb
fcde,edcfeeb
fcdg,gdcfggb
fcea,aecfaab
fceb,becfbbb
fced,decfddb
fceg,gecfggb
fcga,agcfaab
fcgb,bgcfbbb
fcgd,dgcfddb
fcge,egcfeeb
fdab,badfbbb
fdac,cadfccb
fdae,eadfeeb
fdag,gadfggb
fdba,abdfaab
fdbc,cbdfccb
fdbe,ebdfeeb
fdbg,gbdfggb
fdca,acdfaab
fdcb,bcdfbbb
fdce,ecdfeeb
fdcg,gcdfggb
fdea,aedfaab
fdeb,bedfbbb
fdec,cedfccb
fdeg,gedfggb
fdga,agdfaab
fdgb,bgdfbbb
fdgc,cgdfccb
fdge,egdfeeb
feab,baefbbb
feac,caefccb
fead,daefddb
feag,gaefggb
feba,abefaab
febc,cbefccb
febd,dbefddb
febg,gbefggb
feca,acefaab
fecb,bcefbbb
fecd,dcefddb
fecg,gcefggb
feda,adefaab
fedb,bdefbbb
fedc,cdefccb
fedg,gdefggb
fega,agefaab
fegb,bgefbbb
fegc,cgefccb
fegd,dgefddb
fgab,bagfbbb
fgac,cagfccb
fgad,dagfddb
fgae,eagfeeb
fgba,abgfaab
fgbc,cbgfccb
fgbd,dbgfddb
fgbe,ebgfeeb
fgca,acgfaab
fgcb,bcgfbbb
fgcd,dcgfddb
fgce,ecgfeeb
fgda,adgfaab
fgdb,bdgfbbb
fgdc,cdgfccb
fgde,edgfeeb
fgea,aegfaab
fgeb,begfbbb
fgec,cegfccb
fged,degfddb
gabc,cbagccb
gabd,dbagddb
gabe,ebageeb
gabf,fbagffb
gacb,bcagbbb
gacd,dcagddb
gace,ecageeb
gacf,fcagffb
gadb,bdagbbb
gadc,cdagccb
gade,edageeb
gadf,fdagffb
gaeb,beagbbb
gaec,ceagccb
gaed,deagddb
gaef,feagffb
gafb,bfagbbb
gafc,cfagccb
gafd,dfagddb
gafe,efageeb
gbac,cabgccb
gbad,dabgddb
gbae,eabgeeb
gbaf,fabgffb
gbca,acbgaab
gbcd,dcbgddb
gbce,ecbgeeb
gbcf,fcbgffb
gbda,adbgaab
gbdc,cdbgccb
gbde,edbgeeb
gbdf,fdbgffb
gbea,aebgaab
gbec,cebgccb
gbed,debgddb
gbef,febgffb
gbfa,afbgaab
gbfc,cfbgccb
gbfd,dfbgddb
gbfe,efbgeeb
gcab,bacgbbb
gcad,dacgddb
gcae,eacgeeb
gcaf,facgffb
gcba,abcgaab
gcbd,dbcgddb
gcbe,ebcgeeb
gcbf,fbcgffb
gcda,adcgaab
gcdb,bdcgbbb
gcde,edcgeeb
gcdf,fdcgffb
gcea,aecgaab
gceb,becgbbb
gced,decgddb
gcef,fecgffb
gcfa,afcgaab
gcfb,bfcgbbb
gcfd,dfcgddb
gcfe,efcgeeb
gdab,badgbbb
gdac,cadgccb
gdae,eadgeeb
gdaf,fadgffb
gdba,abdgaab
gdbc,cbdgccb
gdbe,ebdgeeb
gdbf,fbdgffb
gdca,acdgaab
gdcb,bcdgbbb
gdce,ecdgeeb
gdcf,fcdgffb
gdea,aedgaab
gdeb,bedgbbb
gdec,cedgccb
gdef,fedgffb
gdfa,afdgaab
gdfb,bfdgbbb
gdfc,cfdgccb
gdfe,efdgeeb
geab,baegbbb
geac,caegccb
gead,daegddb
geaf,faegffb
geba,abegaab
gebc,cbegccb
gebd,dbegddb
gebf,fbegffb
geca,acegaab
gecb,bcegbbb
gecd,dcegddb
gecf,fcegffb
geda,adegaab
gedb,bdegbbb
gedc,cdegccb
gedf,fdegffb
gefa,afegaab
gefb,bfegbbb
gefc,cfegccb
gefd,dfegddb
gfab,bafgbbb
gfac,cafgccb
gfad,dafgddb
gfae,eafgeeb
gfba,abfgaab
gfbc,cbfgccb
gfbd,dbfgddb
gfbe,ebfgeeb
gfca,acfgaab
gfcb,bcfgbbb
gfcd,dcfgddb
gfce,ecfgeeb
gfda,adfgaab
gfdb,bdfgbbb
gfdc,cdfgccb
gfde,edfgeeb
gfea,aefgaab
gfeb,befgbbb
gfec,cefgccb
gfed,defgddb
abcde,edcbaee
abcdf,fdcbaff
abcdg,gdcbagg
abced,decbadd
abcef,fecbaff
abceg,gecbagg
abcfd,dfcbadd
abcfe,efcbaee
abcfg,gfcbagg
abcgd,dgcbadd
abcge,egcbaee
abcgf,fgcbaff
abdce,ecdbaee
abdcf,fcdbaff
abdcg,gcdbagg
abdec,cedbacc
abdef,fedbaff
abdeg,gedbagg
abdfc,cfdbacc
abdfe,efdbaee
abdfg,gfdbagg
abdgc,cgdbacc
abdge,egdbaee
abdgf,fgdbaff
abecd,dcebadd
abecf,fcebaff
abecg,gcebagg
abedc,cdebacc
abedf,fdebaff
abedg,gdebagg
abefc,cfebacc
abefd,dfebadd
abefg,gfebagg
abegc,cgebacc
abegd,dgebadd
abegf,fgebaff
abfcd,dcfbadd
abfce,ecfbaee
abfcg,gcfbagg
abfdc,cdfbacc
abfde,edfbaee
abfdg,gdfbagg
abfec,cefbacc
abfed,defbadd
abfeg,gefbagg
abfgc,cgfbacc
abfgd,dgfbadd
abfge,egfbaee
abgcd,dcgbadd
abgce,ecgbaee
abgcf,fcgbaff
abgdc,cdgbacc
abgde,edgbaee
abgdf,fdgbaff
abgec,cegbacc
abged,degbadd
abgef,fegbaff
abgfc,cfgbacc
abgfd,dfgbadd
abgfe,efgbaee
acbde,edbcaee
acbdf,fdbcaff
acbdg,gdbcagg
acbed,debcadd
acbef,febcaff
acbeg,gebcagg
acbfd,dfbcadd
acbfe,efbcaee
acbfg,gfbcagg
acbgd,dgbcadd
acbge,egbcaee
acbgf,fgbcaff
acdbe,ebdcaee
acdbf,fbdcaff
acdbg,gbdcagg
acdeb,bedcabb
acdef,fedcaff
acdeg,gedcagg
acdfb,bfdcabb
acdfe,efdcaee
acdfg,gfdcagg
acdgb,bgdcabb
acdge,egdcaee
acdgf,fgdcaff
acebd,dbecadd
acebf,fbecaff
acebg,gbecagg
acedb,bdecabb
acedf,fdecaff
acedg,gdecagg
acefb,bfecabb
acefd,dfecadd
acefg,gfecagg
acegb,bgecabb
acegd,dgecadd
acegf,fgecaff
acfbd,dbfcadd
acfbe,ebfcaee
acfbg,gbfcagg
acfdb,bdfcabb
acfde,edfcaee
acfdg,gdfcagg
acfeb,befcabb
acfed,defcadd
acfeg,gefcagg
acfgb,bgfcabb
acfgd,dgfcadd
acfge,egfcaee
acgbd,dbgcadd
acgbe,ebgcaee
acgbf,fbgcaff
acgdb,bdgcabb
acgde,edgcaee
acgdf,fdgcaff
acgeb,begcabb
acged,degcadd
acgef,fegcaff
acgfb,bfgcabb
acgfd,dfgcadd
acgfe,efgcaee
adbce,ecbdaee
adbcf,fcbdaff
adbcg,gcbdagg
adbec,cebdacc
adbef,febdaff
adbeg,gebdagg
adbfc,cfbdacc
adbfe,efbdaee
adbfg,gfbdagg
adbgc,cgbdacc
adbge,egbdaee
adbgf,fgbdaff
adcbe,ebcdaee
adcbf,fbcdaff
adcbg,gbcdagg
adceb,becdabb
adcef,fecdaff
adceg,gecdagg
adcfb,bfcdabb
adcfe,efcdaee
adcfg,gfcdagg
adcgb,bgcdabb
adcge,egcdaee
adcgf,fgcdaff
adebc,cbedacc
adebf,fbedaff
adebg,gbedagg
adecb,bcedabb
adecf,fcedaff
adecg,gcedagg
adefb,bfedabb
adefc,cfedacc
adefg,gfedagg
adegb,bgedabb
adegc,cgedacc
adegf,fgedaff
adfbc,cbfdacc
adfbe,ebfdaee
adfbg,gbfdagg
adfcb,bcfdabb
adfce,ecfdaee
adfcg,gcfdagg
adfeb,befdabb
adfec,cefdacc
adfeg,gefdagg
adfgb,bgfdabb
adfgc,cgfdacc
adfge,egfdaee
adgbc,cbgdacc
adgbe,ebgdaee
adgbf,fbgdaff
adgcb,bcgdabb
adgce,ecgdaee
adgcf,fcgdaff
adgeb,begdabb
adgec,cegdacc
adgef,fegdaff
adgfb,bfgdabb
adgfc,cfgdacc
adgfe,efgdaee
aebcd,dcbeadd
aebcf,fcbeaff
aebcg,gcbeagg
aebdc,cdbeacc
aebdf,fdbeaff
aebdg,gdbeagg
aebfc,cfbeacc
aebfd,dfbeadd
aebfg,gfbeagg
aebgc,cgbeacc
aebgd,dgbeadd
aebgf,fgbeaff
aecbd,dbceadd
aecbf,fbceaff
aecbg,gbceagg
aecdb,bdceabb
aecdf,fdceaff
aecdg,gdceagg
aecfb,bfceabb
aecfd,dfceadd
aecfg,gfceagg
aecgb,bgceabb
aecgd,dgceadd
aecgf,fgceaff
aedbc,cbdeacc
aedbf,fbdeaff
aedbg,gbdeagg
aedcb,bcdeabb
aedcf,fcdeaff
aedcg,gcdeagg
aedfb,bfdeabb
aedfc,cfdeacc
aedfg,gfdeagg
aedgb,bgdeabb
aedgc,cgdeacc
aedgf,fgdeaff
aefbc,cbfeacc
aefbd,dbfeadd
aefbg,gbfeagg
aefcb,bcfeabb
aefcd,dcfeadd
aefcg,gcfeagg
aefdb,bdfeabb
aefdc,cdfeacc
aefdg,gdfeagg
aefgb,bgfeabb
aefgc,cgfeacc
aefgd,dgfeadd
aegbc,cbgeacc
aegbd,dbgeadd
aegbf,fbgeaff
aegcb,bcgeabb
aegcd,dcgeadd
